zone_id,base_income_quartile,tenure,rate
112,3,rent,1.0
112,4,rent,1.0
113,1,own,0.75
113,2,own,0.75
113,3,own,0.75
113,4,own,0.75
113,1,rent,1.0
113,2,rent,1.0
113,3,rent,1.0
113,4,rent,1.0
114,1,own,0.75
114,2,own,0.75
114,3,own,0.75
114,4,own,0.75
114,1,rent,1.0
114,2,rent,1.0
114,3,rent,1.0
114,4,rent,1.0
115,1,own,0.75
115,2,own,0.75
115,3,own,0.75
115,4,own,0.75
115,1,rent,1.0
115,2,rent,1.0
115,3,rent,1.0
115,4,rent,1.0
116,1,own,0.75
116,2,own,0.75
116,3,own,0.75
116,4,own,0.75
116,1,rent,1.0
116,2,rent,1.0
116,3,rent,1.0
116,4,rent,1.0
117,1,own,0.75
117,2,own,0.75
117,3,own,0.75
117,4,own,0.75
117,1,rent,1.0
117,2,rent,1.0
117,3,rent,1.0
117,4,rent,1.0
118,1,own,0.75
118,2,own,0.75
118,3,own,0.75
118,4,own,0.75
118,1,rent,1.0
118,2,rent,1.0
118,3,rent,1.0
118,4,rent,1.0
119,1,own,0.75
119,2,own,0.75
119,3,own,0.75
119,4,own,0.75
119,1,rent,1.0
119,2,rent,1.0
119,3,rent,1.0
119,4,rent,1.0
120,1,own,0.75
120,2,own,0.75
120,3,own,0.75
120,4,own,0.75
120,1,rent,1.0
120,2,rent,1.0
120,3,rent,1.0
120,4,rent,1.0
121,1,own,0.75
121,2,own,0.75
121,3,own,0.75
121,4,own,0.75
121,1,rent,1.0
121,2,rent,1.0
121,3,rent,1.0
121,4,rent,1.0
122,1,own,0.75
122,2,own,0.75
122,3,own,0.75
122,4,own,0.75
122,1,rent,1.0
122,2,rent,1.0
122,3,rent,1.0
122,4,rent,1.0
123,1,own,0.75
123,2,own,0.75
123,3,own,0.75
123,4,own,0.75
123,1,rent,1.0
123,2,rent,1.0
123,3,rent,1.0
123,4,rent,1.0
124,1,own,0.75
124,2,own,0.75
124,3,own,0.75
124,4,own,0.75
124,1,rent,1.0
124,2,rent,1.0
124,3,rent,1.0
124,4,rent,1.0
125,1,own,0.75
125,2,own,0.75
125,3,own,0.75
125,4,own,0.75
125,1,rent,1.0
125,2,rent,1.0
125,3,rent,1.0
125,4,rent,1.0
126,1,own,0.75
126,2,own,0.75
126,3,own,0.75
126,4,own,0.75
126,1,rent,1.0
126,2,rent,1.0
126,3,rent,1.0
126,4,rent,1.0
127,1,own,0.75
127,2,own,0.75
127,3,own,0.75
127,4,own,0.75
127,1,rent,1.0
127,2,rent,1.0
127,3,rent,1.0
127,4,rent,1.0
128,1,own,0.75
128,2,own,0.75
128,3,own,0.75
128,4,own,0.75
128,1,rent,1.0
128,2,rent,1.0
128,3,rent,1.0
128,4,rent,1.0
129,1,own,0.75
129,2,own,0.75
129,3,own,0.75
129,4,own,0.75
129,1,rent,1.0
