fbpzoningmodcat,modcat_id,FREQUENCY,SUM_ACRES,manual_county,zone,juris,gg_id,tra_id,sesit_id,ppa_id,exp2020_id,exsfd_id,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,notes,res_rent_cat,job_out_cat
santa_claraNAtra3HRANAinsfd,1910,1232,175.7421069,85,439,santa_clara,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
santa_claraNAtra3NANAinNA,1911,711,1111.755158,85,429,santa_clara,NA,tra3,NA,NA,in,NA,,,,,,,,,,
santa_claraNAtra3NANAinsfd,1912,527,74.40243463,85,437,santa_clara,NA,tra3,NA,NA,in,sfd,,,,,,,,,,
santa_rosaGGNADISNAinNA,1913,671,380.1246351,97,1378,santa_rosa,GG,NA,DIS,NA,in,NA,,,25,1.5,,,,,,
santa_rosaGGNADISNAinsfd,1914,1079,216.6396955,97,1378,santa_rosa,GG,NA,DIS,NA,in,sfd,,,25,1.5,,,,,,
santa_rosaGGNAHRADISNAinNA,1915,100,79.24663615,97,1352,santa_rosa,GG,NA,HRADIS,NA,in,NA,HM,,35,1,,,,,,
santa_rosaGGNAHRADISNAinsfd,1916,1470,307.9195571,97,1352,santa_rosa,GG,NA,HRADIS,NA,in,sfd,HM,,35,1,,,,,,
santa_rosaGGNANANAinNA,1917,1099,1250.774962,97,1381,santa_rosa,GG,NA,NA,NA,in,NA,,,25,1.5,,,,,,
santa_rosaGGNANANAinsfd,1918,1508,286.2148457,97,1380,santa_rosa,GG,NA,NA,NA,in,sfd,,,25,1.5,,,,,,
santa_rosaGGtra3DISNAinNA,1919,1073,605.0280585,97,1378,santa_rosa,GG,tra3,DIS,NA,in,NA,HM,,35,2,,,,,,
santa_rosaGGtra3DISNAinsfd,1920,1411,248.0845671,97,1366,santa_rosa,GG,tra3,DIS,NA,in,sfd,HM,,35,2,,,,,,
santa_rosaGGtra3NANAinNA,1921,1854,1032.715206,97,1373,santa_rosa,GG,tra3,NA,NA,in,NA,HM,,35,2,,,,,,
santa_rosaGGtra3NANAinsfd,1922,1852,249.6200147,97,1373,santa_rosa,GG,tra3,NA,NA,in,sfd,HM,,35,2,,,,,,
santa_rosaNANADISNAexp1_npNA,1923,2,14.33609697,97,1382,santa_rosa,NA,NA,DIS,NA,exp1_np,NA,,,,,0,0,,,,
santa_rosaNANADISNAinNA,1924,7138,7111.288171,97,1349,santa_rosa,NA,NA,DIS,NA,in,NA,,,,,,,,,,
santa_rosaNANADISNAinsfd,1925,19050,5095.427304,97,1362,santa_rosa,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
santa_rosaNANADISNAoutNA,1926,20,638.7765189,97,1382,santa_rosa,NA,NA,DIS,NA,out,NA,,,,,0,0,,,,
santa_rosaNANAHRADISNAinNA,1927,58,195.0743608,97,1351,santa_rosa,NA,NA,HRADIS,NA,in,NA,,,,,,,,,,
santa_rosaNANAHRADISNAinsfd,1928,951,322.1692725,97,1352,santa_rosa,NA,NA,HRADIS,NA,in,sfd,,,,,,,,,,
santa_rosaNANAHRADISNAoutNA,1929,1,3.375199031,97,1382,santa_rosa,NA,NA,HRADIS,NA,out,NA,,,,,0,0,,,,
santa_rosaNANAHRANAexp1_npNA,1930,1,34.25653506,97,1381,santa_rosa,NA,NA,HRA,NA,exp1_np,NA,,,,,0,0,,,,
santa_rosaNANANANAexp1_npNA,1931,3,34.97214529,97,1381,santa_rosa,NA,NA,NA,NA,exp1_np,NA,,,,,0,0,,,,
santa_rosaNANANANAinNA,1932,1184,1340.486117,97,1376,santa_rosa,NA,NA,NA,NA,in,NA,,,,,,,,,,
santa_rosaNANANANAinsfd,1933,5155,1153.908054,97,1359,santa_rosa,NA,NA,NA,NA,in,sfd,,,,,,,,,,
santa_rosaNANANANAoutNA,1934,10,1168.373542,97,1381,santa_rosa,NA,NA,NA,NA,out,NA,,,,,0,0,,,,
santa_rosaNAtra3DISNAinNA,1935,483,344.6318104,97,1362,santa_rosa,NA,tra3,DIS,NA,in,NA,,,,,,,,,,
