"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
13,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,6,6,6
14,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,20,3,5
14,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,16,2,6
14,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,24,23,24
14,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,13,13,13
14,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,43,38,42
14,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,72,71,71
14,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,12,12,12
14,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,65,62,63
15,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,30,3,9
15,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,3,1,2
15,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,20,3,7
15,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,54,53,54
15,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,20,20,20
15,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,35,33,34
15,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,89,87,87
15,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,36,36,36
15,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,81,77,77
16,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,323,45,119
16,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,192,15,56
16,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,96,30,47
16,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,3,2,3
16,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,170,25,63
16,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,312,238,259
16,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,211,167,188
