zone_id,totacre_abag,resacre10_abag,ciacre10_abag,meanhhsize,gqpop10,gqpop15,gqpop20,gqpop25,gqpop30,gqpop35,gqpop40,zonal_emp_sh_resid10,sh_age0004,sh_age0519,sh_age2044,sh_age4564,sh_age65p,sh_62plus,perf1re1gt1,perfareagt10,perfareagt50
100,80.0,27,19,2.4719,66,70,74,78,82,87,92,0.0954,0.059,0.135,0.488,0.212,0.105,0.129,1,1,1
101,87.0,33,19,2.5344,132,140,148,156,165,175,185,0.0810,0.064,0.153,0.488,0.193,0.101,0.122,1,1,1
102,81.0,45,3,1.8859,45,48,50,53,56,60,63,0.1604,0.031,0.067,0.567,0.238,0.097,0.123,1,1,1
103,137.0,67,8,1.8134,7,7,8,8,9,9,10,0.1913,0.026,0.033,0.552,0.290,0.099,0.131,1,1,1
104,68.0,24,13,1.8116,24,25,27,29,30,32,34,0.1877,0.018,0.041,0.586,0.275,0.080,0.111,1,1,1
105,80.0,34,10,1.9148,89,94,100,105,112,118,125,0.0675,0.038,0.093,0.516,0.237,0.116,0.142,1,1,1
106,110.0,21,38,1.9973,284,300,318,336,356,376,398,0.0119,0.064,0.147,0.440,0.240,0.109,0.135,1,1,1
107,223.0,10,106,2.4879,277,293,310,328,347,367,388,0.0073,0.046,0.128,0.516,0.231,0.079,0.105,1,1,1
108,113.7,7,103,1.8277,110,116,123,130,138,146,154,0.2298,0.030,0.095,0.479,0.257,0.139,0.167,1,1,1
109,142.8,21,135,1.8280,805,852,901,953,1008,1066,1128,0.2300,0.031,0.095,0.479,0.257,0.139,0.167,1,1,1
110,263.9,7,33,1.8287,160,169,179,189,200,212,224,0.2310,0.030,0.094,0.480,0.257,0.139,0.167,1,1,1
111,327.0,10,211,1.8331,40,42,45,47,50,53,56,0.3231,0.041,0.042,0.588,0.267,0.062,0.092,1,1,1
112,67.0,28,10,2.0520,47,50,53,56,59,62,66,0.1411,0.041,0.051,0.514,0.283,0.111,0.143,1,1,1
113,186.0,82,27,2.2900,5,5,6,6,6,7,7,0.0394,0.088,0.165,0.432,0.244,0.070,0.097,1,1,1
114,146.0,48,20,1.9361,7,7,8,8,9,9,10,0.1681,0.038,0.059,0.476,0.312,0.115,0.150,1,1,1
115,74.0,17,26,2.7369,476,504,533,563,596,631,667,-0.1270,0.050,0.138,0.424,0.283,0.105,0.136,1,1,1
116,143.0,36,49,2.7081,67,71,75,79,84,89,94,0.1221,0.080,0.159,0.485,0.211,0.065,0.089,1,1,1
117,70.0,35,9,2.9654,55,58,62,65,69,73,77,0.0041,0.081,0.180,0.457,0.202,0.080,0.103,1,1,1
118,62.0,27,8,3.2681,32,34,36,38,40,43,45,0.0727,0.084,0.175,0.483,0.191,0.067,0.089,1,1,1
119,39.0,20,4,3.1771,68,72,76,80,85,90,95,-0.0117,0.079,0.182,0.436,0.214,0.089,0.113,1,1,1
120,78.0,30,10,2.9893,42,44,47,50,53,56,59,0.0574,0.077,0.188,0.450,0.201,0.084,0.106,1,1,1
121,140.0,52,11,2.3735,65,69,73,77,81,86,91,0.0743,0.049,0.112,0.402,0.306,0.130,0.164,1,1,1
122,160.0,72,5,2.4278,210,222,235,248,263,278,294,0.0771,0.062,0.125,0.422,0.281,0.109,0.141,1,1,1
123,89.0,37,16,2.3933,133,141,149,157,166,176,186,0.0565,0.064,0.117,0.445,0.267,0.108,0.138,1,1,1
124,94.0,39,3,2.6552,16,17,18,19,20,21,22,0.0459,0.066,0.164,0.420,0.251,0.100,0.127,1,1,1
125,82.0,38,3,2.7415,7,7,8,8,9,9,10,0.0594,0.065,0.157,0.355,0.284,0.140,0.171,1,1,1
126,122.0,63,1,2.9610,16,17,18,19,20,21,22,-0.0665,0.077,0.175,0.366,0.256,0.126,0.154,1,1,1
127,128.0,71,6,2.1572,26,27,29,31,32,34,36,0.1167,0.055,0.097,0.427,0.314,0.107,0.142,1,1,1
128,119.0,69,4,2.0617,46,49,51,54,57,61,64,0.1135,0.051,0.089,0.488,0.265,0.106,0.136,1,1,1
129,148.0,76,1,1.8934,0,0,0,0,0,0,0,0.1146,0.041,0.075,0.392,0.340,0.152,0.190,1,1,1
130,307.0,103,43,2.1958,1,1,1,1,1,1,1,0.0424,0.048,0.115,0.315,0.364,0.158,0.198,1,1,1
131,348.0,199,1,2.3927,0,0,0,0,0,0,0,0.0455,0.052,0.113,0.280,0.360,0.196,0.236,1,1,1
132,205.0,103,15,2.7459,3,3,3,3,4,4,4,0.0408,0.059,0.145,0.303,0.326,0.167,0.204,1,1,1
133,280.0,116,67,2.5146,2,2,2,2,3,3,3,0.0363,0.053,0.127,0.362,0.320,0.137,0.173,1,1,1
134,254.0,118,17,3.4050,64,68,72,76,80,85,90,-0.0709,0.063,0.155,0.337,0.286,0.159,0.191,1,1,1
135,100.0,59,6,3.8565,6,6,7,7,7,8,8,-0.0845,0.065,0.193,0.350,0.252,0.140,0.168,1,1,1
136,87.0,50,9,3.2775,415,439,464,491,519,549,581,-0.0972,0.062,0.140,0.293,0.240,0.265,0.291,1,1,1
137,137.0,84,4,3.6014,7,7,8,8,9,9,10,-0.0552,0.062,0.166,0.328,0.279,0.164,0.195,1,1,1
138,292.0,120,26,3.6637,75,79,84,89,94,99,105,-0.1018,0.071,0.174,0.331,0.262,0.162,0.191,1,1,1
139,161.0,65,18,3.9489,35,37,39,41,44,46,49,-0.1445,0.059,0.197,0.309,0.275,0.161,0.191,1,1,1
140,101.0,61,3,3.5468,1,1,1,1,1,1,1,-0.1053,0.071,0.211,0.305,0.259,0.155,0.184,1,1,1
141,53.0,25,5,3.5273,68,72,76,80,85,90,95,-0.2241,0.076,0.252,0.325,0.222,0.124,0.149,1,1,1
142,824.0,7,480,1.9658,63,67,70,74,79,83,88,-0.1598,0.020,0.074,0.494,0.369,0.043,0.086,1,1,1
143,53.0,16,10,3.4893,105,111,117,124,131,139,147,-0.1828,0.078,0.228,0.310,0.250,0.133,0.162,1,1,1
144,122.0,38,7,2.8412,6,6,7,7,7,8,8,-0.1794,0.086,0.277,0.294,0.242,0.100,0.127,1,1,1
145,243.0,52,70,3.0840,18,19,20,21,22,24,25,-0.2803,0.127,0.356,0.298,0.169,0.050,0.069,1,1,1
146,689.0,2,651,3.0325,0,0,0,0,0,0,0,-0.0173,0.069,0.287,0.325,0.278,0.041,0.073,1,1,1
147,206.0,63,43,3.6401,113,119,126,134,141,149,158,-0.1899,0.086,0.238,0.314,0.232,0.130,0.156,1,1,1
148,204.0,55,54,3.7967,0,0,0,0,0,0,0,-0.1878,0.097,0.274,0.315,0.191,0.123,0.144,1,1,1
149,517.0,64,140,3.1330,7,7,8,8,9,9,10,0.0023,0.050,0.192,0.340,0.279,0.139,0.170,1,1,1
150,158.0,26,70,4.2323,0,0,0,0,0,0,0,-0.1412,0.086,0.200,0.362,0.237,0.114,0.141,1,1,1
151,59.0,27,1,3.3899,20,21,22,24,25,26,28,-0.0628,0.049,0.185,0.333,0.285,0.148,0.180,1,1,1
152,182.0,72,27,3.1680,56,59,63,66,70,74,78,-0.0635,0.064,0.168,0.303,0.277,0.188,0.219,1,1,1
153,101.0,59,1,3.7076,10,11,11,12,13,13,14,-0.0283,0.066,0.185,0.331,0.280,0.138,0.169,1,1,1
154,92.0,48,14,3.8484,52,55,58,62,65,69,73,-0.0855,0.064,0.177,0.330,0.281,0.149,0.180,1,1,1
155,82.0,49,3,3.9636,17,18,19,20,21,23,24,-0.1028,0.059,0.194,0.316,0.269,0.162,0.192,1,1,1
156,45.0,25,2,4.2399,6,6,7,7,7,8,8,-0.0602,0.086,0.220,0.353,0.232,0.109,0.135,1,1,1
157,66.0,12,32,3.3465,0,0,0,0,0,0,0,-0.2423,0.146,0.293,0.313,0.165,0.082,0.100,1,1,1
158,397.0,9,22,3.0179,123,130,138,145,154,163,172,0.0176,0.043,0.276,0.278,0.254,0.149,0.177,1,1,1
159,179.0,83,3,3.4302,24,25,27,29,30,32,34,-0.0805,0.073,0.164,0.325,0.271,0.167,0.197,1,1,1
160,95.0,62,2,3.7352,0,0,0,0,0,0,0,-0.0713,0.071,0.178,0.338,0.268,0.145,0.175,1,1,1
161,82.0,50,4,3.7692,3,3,3,3,4,4,4,-0.0726,0.070,0.186,0.341,0.272,0.132,0.162,1,1,1
162,92.0,56,4,3.8193,12,13,13,14,15,16,17,-0.0893,0.066,0.166,0.329,0.279,0.160,0.191,1,1,1
163,94.0,62,3,3.6334,71,75,79,84,89,94,99,-0.1067,0.072,0.176,0.321,0.259,0.173,0.201,1,1,1
164,183.0,87,21,3.9318,66,70,74,78,82,87,92,-0.0478,0.064,0.168,0.338,0.274,0.156,0.186,1,1,1
165,175.0,75,42,3.6217,12,13,13,14,15,16,17,-0.0552,0.058,0.143,0.334,0.279,0.186,0.217,1,1,1
166,205.0,122,12,3.5739,94,99,105,111,118,125,132,-0.0599,0.066,0.161,0.350,0.273,0.150,0.180,1,1,1
167,196.0,104,15,3.6817,83,88,93,98,104,110,116,-0.1081,0.071,0.192,0.339,0.259,0.139,0.168,1,1,1
168,272.0,142,26,3.0622,18,19,20,21,22,24,25,-0.0657,0.056,0.161,0.323,0.293,0.166,0.199,1,1,1
169,457.0,270,20,2.7996,16,17,18,19,20,21,22,0.0246,0.052,0.166,0.239,0.340,0.202,0.240,1,1,1
170,305.0,164,19,2.5967,97,103,109,115,122,129,136,0.0154,0.055,0.140,0.264,0.323,0.218,0.253,1,1,1
171,132.0,74,4,2.5595,7,7,8,8,9,9,10,0.0574,0.063,0.131,0.290,0.324,0.192,0.228,1,1,1
172,238.0,142,13,2.6415,0,0,0,0,0,0,0,0.0364,0.053,0.154,0.281,0.331,0.181,0.218,1,1,1
173,147.0,91,1,2.5830,0,0,0,0,0,0,0,-0.0221,0.052,0.140,0.301,0.307,0.200,0.234,1,1,1
174,182.0,113,3,2.3662,69,73,77,82,87,92,97,0.0427,0.043,0.107,0.390,0.281,0.179,0.210,1,1,1
