zone_id,gqpop10,gqpop15,gqpop20,gqpop25,gqpop30,gqpop35,gqpop40,zonal_emp_sh_resid10,sh_age0004,sh_age0519,sh_age2044,sh_age4564,sh_age65up,sh_62plus
178,9,10,10,11,12,12,13,0.0080,0.050,0.129,0.339,0.288,0.194,0.225
179,8,8,9,9,10,10,11,0.0153,0.050,0.132,0.347,0.276,0.196,0.226
180,32,34,36,38,40,43,45,0.0302,0.042,0.116,0.428,0.294,0.120,0.152
181,5,5,6,6,6,7,7,0.0069,0.050,0.135,0.374,0.281,0.161,0.192
182,5,5,6,6,6,7,7,-0.0303,0.042,0.148,0.340,0.292,0.177,0.209
183,20,21,22,24,25,26,28,-0.0332,0.047,0.142,0.317,0.283,0.211,0.242
184,27,29,30,32,34,36,38,-0.0449,0.053,0.132,0.311,0.294,0.211,0.243
185,141,149,158,167,176,186,197,-0.0116,0.048,0.121,0.356,0.271,0.203,0.233
186,76,80,85,90,95,100,106,-0.0298,0.051,0.142,0.311,0.290,0.205,0.237
187,13,14,14,15,16,17,18,-0.0889,0.042,0.140,0.240,0.289,0.288,0.320
188,2153,2277,2408,2546,2692,2847,3011,-0.1580,0.018,0.270,0.504,0.091,0.117,0.127
189,0,0,0,0,0,0,0,-0.0714,0.060,0.122,0.426,0.232,0.159,0.185
190,5,5,6,6,6,7,7,0.1209,0.030,0.068,0.480,0.275,0.147,0.178
191,0,0,0,0,0,0,0,-0.0544,0.047,0.152,0.286,0.277,0.239,0.271
192,4,4,5,5,5,6,6,-0.0468,0.058,0.159,0.460,0.216,0.107,0.132
193,140,148,157,166,175,185,196,-0.0383,0.062,0.203,0.332,0.263,0.140,0.170
194,87,92,97,103,109,115,122,-0.0284,0.045,0.173,0.310,0.286,0.186,0.219
195,7,7,8,8,9,9,10,-0.0296,0.046,0.159,0.312,0.283,0.200,0.233
196,27,29,30,32,34,36,38,-0.0152,0.053,0.205,0.326,0.288,0.127,0.161
197,18,19,20,21,22,24,25,0.0682,0.046,0.181,0.309,0.290,0.174,0.208
198,317,335,354,375,396,419,443,-0.0703,0.066,0.173,0.403,0.193,0.165,0.188
199,0,0,0,0,0,0,0,0.0763,0.054,0.139,0.416,0.304,0.087,0.122
200,30,32,34,35,38,40,42,-0.0400,0.039,0.161,0.271,0.276,0.253,0.285
201,19,20,21,23,24,25,27,-0.0310,0.070,0.203,0.366,0.237,0.124,0.151
202,15,16,17,18,19,20,21,-0.0077,0.062,0.190,0.343,0.278,0.128,0.160
203,0,0,0,0,0,0,0,-0.0341,0.058,0.201,0.371,0.252,0.118,0.148
204,114,120,127,135,142,150,159,-0.0221,0.056,0.204,0.355,0.259,0.126,0.156
205,16,17,18,19,20,21,22,-0.0005,0.054,0.196,0.349,0.267,0.134,0.165
206,0,0,0,0,0,0,0,0.0085,0.050,0.181,0.340,0.279,0.150,0.182
207,3,3,3,3,4,4,4,-0.0877,0.055,0.237,0.309,0.259,0.140,0.170
208,16,17,18,19,20,21,22,0.0157,0.042,0.146,0.356,0.362,0.095,0.137
209,18,19,20,21,22,24,25,-0.0281,0.055,0.183,0.333,0.275,0.154,0.186
210,23,24,26,27,29,30,32,-0.0745,0.085,0.244,0.399,0.197,0.074,0.097
211,89,94,99,105,111,117,124,-0.0562,0.080,0.214,0.404,0.196,0.106,0.128
212,86,91,96,102,107,114,120,-0.0570,0.062,0.216,0.330,0.262,0.129,0.160
213,42,44,47,50,53,56,59,-0.0659,0.041,0.164,0.281,0.252,0.262,0.291
214,77,81,86,91,96,102,108,-0.0746,0.058,0.184,0.287,0.264,0.207,0.238
215,13,14,14,15,16,17,18,-0.0286,0.058,0.191,0.352,0.254,0.145,0.175
216,6,6,7,7,7,8,8,-0.0288,0.058,0.191,0.352,0.254,0.145,0.175
217,111,117,124,131,139,147,155,-0.0579,0.050,0.205,0.307,0.275,0.163,0.195
218,13,14,14,15,16,17,18,0.0755,0.052,0.177,0.330,0.312,0.130,0.166
219,7,7,8,8,9,9,10,0.0252,0.046,0.188,0.306,0.327,0.133,0.171
220,22,23,25,26,28,29,31,-0.0013,0.059,0.196,0.399,0.269,0.077,0.108
221,0,0,0,0,0,0,0,0.0327,0.051,0.194,0.337,0.308,0.109,0.145
222,69,73,77,82,87,92,97,0.0429,0.047,0.167,0.396,0.289,0.101,0.134
223,32,34,36,38,40,43,45,0.0689,0.048,0.153,0.368,0.326,0.105,0.143
224,3,3,3,3,4,4,4,0.0366,0.049,0.179,0.301,0.346,0.126,0.166
225,51,54,57,60,64,67,71,0.0155,0.051,0.209,0.317,0.283,0.141,0.174
226,6,6,7,7,7,8,8,0.0318,0.055,0.211,0.282,0.309,0.143,0.179
227,0,0,0,0,0,0,0,0.0836,0.046,0.193,0.268,0.369,0.123,0.166
228,6,6,7,7,7,8,8,0.0961,0.077,0.128,0.231,0.538,0.026,0.087
229,17,18,19,20,21,23,24,0.0146,0.054,0.189,0.380,0.290,0.087,0.121
230,3,3,3,3,4,4,4,0.0376,0.056,0.214,0.330,0.293,0.106,0.140
231,129,136,144,152,161,170,180,0.0141,0.046,0.184,0.294,0.326,0.151,0.189
232,213,225,238,252,266,282,298,0.0199,0.048,0.199,0.286,0.299,0.168,0.202
233,6,6,7,7,7,8,8,0.0366,0.046,0.141,0.335,0.307,0.171,0.206
234,0,0,0,0,0,0,0,0.0914,0.048,0.104,0.468,0.283,0.096,0.129
235,1,1,1,1,1,1,1,0.0150,0.056,0.188,0.286,0.278,0.191,0.223
236,27,29,30,32,34,36,38,0.0082,0.050,0.168,0.347,0.271,0.165,0.196
237,129,136,144,152,161,170,180,-0.0846,0.070,0.207,0.390,0.233,0.101,0.128
238,0,0,0,0,0,0,0,-0.1008,0.067,0.254,0.369,0.226,0.084,0.110
239,0,0,0,0,0,0,0,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.000
240,244,258,273,288,305,322,341,-0.0566,0.048,0.167,0.356,0.231,0.198,0.225
241,25,26,28,30,31,33,35,-0.0735,0.037,0.162,0.232,0.292,0.276,0.310
242,0,0,0,0,0,0,0,-0.1024,0.033,0.175,0.212,0.304,0.276,0.311
243,14,15,16,17,18,19,20,-0.0545,0.042,0.175,0.247,0.326,0.210,0.248
244,8,8,9,9,10,10,11,-0.1263,0.045,0.181,0.288,0.269,0.217,0.248
245,30,32,34,35,38,40,42,-0.0902,0.034,0.139,0.231,0.301,0.295,0.330
246,350,370,392,414,438,463,490,-0.0779,0.042,0.154,0.241,0.281,0.281,0.314
247,12,13,13,14,15,16,17,-0.0616,0.069,0.177,0.284,0.304,0.166,0.202
248,0,0,0,0,0,0,0,0.0019,0.043,0.138,0.426,0.260,0.132,0.162
249,0,0,0,0,0,0,0,-0.0075,0.061,0.171,0.394,0.256,0.119,0.148
250,66,70,74,78,82,87,92,-0.0047,0.059,0.151,0.352,0.285,0.153,0.186
251,9,10,10,11,12,12,13,0.0529,0.034,0.088,0.447,0.262,0.169,0.200
252,0,0,0,0,0,0,0,0.0368,0.042,0.194,0.185,0.356,0.223,0.265
253,0,0,0,0,0,0,0,0.0715,0.057,0.178,0.249,0.324,0.191,0.229
254,1,1,1,1,1,1,1,0.0586,0.047,0.205,0.184,0.366,0.197,0.240
255,4,4,5,5,5,6,6,-0.0192,0.057,0.186,0.217,0.340,0.200,0.239
256,42,44,47,50,53,56,59,-0.0037,0.033,0.073,0.314,0.259,0.320,0.350
257,179,189,200,212,224,236,250,-0.0880,0.041,0.128,0.342,0.223,0.266,0.292
258,182,193,204,215,228,241,255,-0.0327,0.042,0.101,0.415,0.238,0.204,0.231
259,13,14,14,15,16,17,18,-0.0371,0.058,0.124,0.400,0.236,0.182,0.209
260,118,125,132,140,148,156,165,-0.1025,0.068,0.235,0.412,0.191,0.094,0.117
261,14,15,16,17,18,19,20,-0.0554,0.067,0.206,0.374,0.245,0.107,0.136
262,129,136,144,152,161,170,180,0.0165,0.064,0.214,0.388,0.241,0.094,0.122
263,86,91,96,102,107,114,120,-0.0842,0.063,0.200,0.330,0.255,0.152,0.182
264,95,100,106,112,119,126,133,-0.0217,0.052,0.183,0.305,0.300,0.160,0.195
265,1,1,1,1,1,1,1,0.1364,0.039,0.072,0.433,0.314,0.141,0.178
266,0,0,0,0,0,0,0,0.0627,0.055,0.122,0.416,0.280,0.127,0.160
267,79,83,88,93,99,104,110,0.0092,0.042,0.183,0.280,0.336,0.160,0.199
268,6,6,7,7,7,8,8,0.0210,0.053,0.162,0.326,0.319,0.140,0.177
269,16,17,18,19,20,21,22,0.0142,0.051,0.156,0.376,0.299,0.118,0.153
270,0,0,0,0,0,0,0,0.0896,0.047,0.153,0.395,0.292,0.113,0.147
271,0,0,0,0,0,0,0,0.0687,0.054,0.163,0.261,0.400,0.121,0.168
272,2,2,2,2,3,3,3,-0.0110,0.056,0.199,0.250,0.372,0.124,0.167
273,6,6,7,7,7,8,8,0.0875,0.062,0.194,0.363,0.321,0.060,0.097
274,6,6,7,7,7,8,8,0.0095,0.061,0.156,0.435,0.219,0.129,0.154
275,16,17,18,19,20,21,22,0.0267,0.070,0.165,0.428,0.246,0.091,0.120
276,0,0,0,0,0,0,0,0.0536,0.044,0.143,0.424,0.291,0.098,0.132
277,63,67,70,74,79,83,88,0.0441,0.065,0.178,0.348,0.261,0.148,0.178
278,6,6,7,7,7,8,8,-0.0224,0.049,0.164,0.355,0.253,0.178,0.208
279,50,53,56,59,63,66,70,0.0469,0.063,0.161,0.335,0.260,0.182,0.212
280,14,15,16,17,18,19,20,-0.0040,0.063,0.143,0.335,0.284,0.174,0.207
281,186,197,208,220,233,246,260,-0.0052,0.055,0.131,0.332,0.249,0.232,0.262
282,1,1,1,1,1,1,1,-0.0353,0.047,0.146,0.253,0.279,0.275,0.308
283,59,62,66,70,74,78,83,-0.0333,0.058,0.169,0.251,0.280,0.242,0.275
284,79,83,88,93,99,104,110,-0.0205,0.056,0.146,0.380,0.227,0.191,0.217
285,0,0,0,0,0,0,0,0.0126,0.055,0.132,0.255,0.305,0.252,0.287
286,437,462,489,517,546,578,611,0.0366,0.052,0.154,0.328,0.298,0.167,0.202
287,1,1,1,1,1,1,1,0.0106,0.051,0.152,0.294,0.311,0.192,0.228
288,63,67,70,74,79,83,88,0.0966,0.042,0.118,0.390,0.280,0.170,0.202
289,0,0,0,0,0,0,0,0.0648,0.058,0.154,0.282,0.343,0.163,0.202
290,0,0,0,0,0,0,0,0.0318,0.045,0.118,0.305,0.331,0.200,0.239
291,7,7,8,8,9,9,10,0.0566,0.051,0.150,0.251,0.367,0.181,0.223
292,182,193,204,215,228,241,255,-0.0242,0.045,0.219,0.229,0.327,0.180,0.217
293,120,127,134,142,150,159,168,0.0601,0.056,0.212,0.282,0.370,0.080,0.123
294,14,15,16,17,18,19,20,0.0881,0.059,0.197,0.301,0.360,0.083,0.124
295,22,23,25,26,28,29,31,-0.0136,0.058,0.188,0.387,0.296,0.071,0.105
296,80,85,89,95,100,106,112,0.0047,0.054,0.186,0.283,0.341,0.136,0.175
297,143,151,160,169,179,189,200,0.1340,0.049,0.193,0.329,0.349,0.080,0.121
