taz,autoPeakRetail,autoPeakTotal,autoOffPeakRetail,autoOffPeakTotal,transitPeakRetail,transitPeakTotal,transitOffPeakRetail,transitOffPeakTotal,nonMotorizedRetail,nonMotorizedTotal
     501,         9.9645,        12.3431,        10.0624,        12.4703,         2.7767,         4.9872,         2.7311,         4.8800,         4.5039,         5.8826
     502,         9.8598,        12.2342,         9.9587,        12.3654,         2.7218,         4.7723,         2.6044,         4.6645,         5.4150,         6.4398
     503,        10.0228,        12.4087,        10.1207,        12.5370,         3.8182,         6.1890,         3.1846,         5.3559,         5.7306,         7.9583
     504,        10.0364,        12.4202,        10.1321,        12.5468,         4.2437,         7.2366,         3.3756,         6.0439,         6.3649,         8.6501
     505,         9.8202,        12.2016,         9.9736,        12.3855,         1.9720,         4.4618,         1.6496,         3.8521,         4.1558,         5.9904
     506,         9.8606,        12.2463,         9.9829,        12.3991,         1.3242,         3.5715,         1.0643,         2.9999,         3.5069,         6.4284
     507,         9.7683,        12.1341,         9.8995,        12.2985,         0.3809,         1.7849,         0.4426,         1.8368,         3.5088,         6.2772
     508,         9.9151,        12.2772,        10.0845,        12.4863,         1.0824,         3.2495,         1.0498,         3.2044,         4.7948,         7.2583
     509,         9.6718,        12.0260,         9.8259,        12.2247,         0.1098,         1.0259,         0.0222,         0.2983,         3.4549,         6.3143
     510,         9.4559,        11.8260,         9.5605,        11.9563,              0,              0,              0,              0,         0.6115,         4.5261
     511,         9.5797,        11.9496,         9.6968,        12.0965,              0,              0,              0,              0,         4.7331,         6.9822
     512,         8.7888,        11.1558,         9.0416,        11.4439,              0,              0,              0,              0,         2.0721,         4.4189
     513,         9.5077,        11.8728,         9.6803,        12.0823,              0,              0,              0,              0,         0.1012,         3.8701
     514,         9.5123,        11.7951,         9.6652,        12.0045,              0,              0,              0,              0,         3.3479,         4.9431
     515,         9.8257,        12.0920,        10.0170,        12.3540,         1.6378,         3.1192,         0.6556,         1.8929,         4.2300,         7.3228
     516,         9.8124,        12.1285,         9.9650,        12.3277,         1.7317,         3.5337,         1.0989,         3.0341,         1.8657,         4.0001
     517,         9.6137,        11.9380,         9.7718,        12.1444,         1.6602,         3.8597,         1.4915,         3.7763,         3.6545,         5.9004
     518,         9.9000,        12.2506,        10.0694,        12.4658,         2.0751,         4.5540,         2.0603,         4.5293,         5.5598,         7.3929
     519,         9.9160,        12.2730,        10.0448,        12.4397,         2.3074,         4.5430,         2.2752,         4.5001,         4.5249,         7.6623
     520,         9.8948,        12.2075,        10.0110,        12.3646,         1.1437,         3.0003,         0.3859,         1.8473,         3.7600,         6.2524
     521,        10.0032,        12.3676,        10.1220,        12.5190,         3.7672,         6.2026,         3.7474,         6.1737,         5.3435,         7.5930
     522,         9.9509,        12.2981,        10.0581,        12.4411,         3.5021,         5.8616,         3.5045,         5.8505,         5.3742,         7.1406
     523,         9.9147,        12.2256,        10.0137,        12.3693,         2.5411,         4.7305,         2.4341,         4.5888,         5.4594,         6.7713
     524,         9.8999,        12.2124,        10.0031,        12.3629,         2.4469,         4.6391,         2.1492,         4.2104,         4.9042,         6.1272
     525,         9.9649,        12.2758,        10.0934,        12.4895,         2.3863,         4.5498,         2.3824,         4.5410,         4.6024,         6.3053
     526,        10.0151,        12.3546,        10.1243,        12.5251,         2.7607,         4.9897,         2.7541,         4.9682,         4.1068,         6.2600
     527,        10.0501,        12.4665,        10.1872,        12.6674,         4.6512,         7.1790,         4.7320,         7.2316,         5.2611,         6.9296
     528,        10.0610,        12.4545,        10.1798,        12.6282,         4.5278,         7.0144,         4.6302,         7.0967,         5.0478,         7.2898
     529,        10.0370,        12.4057,        10.1467,        12.5570,         2.7595,         5.3759,         2.3600,         4.9272,         5.1802,         7.4274
     530,        10.0881,        12.4779,        10.2000,        12.6210,         4.2119,         6.8177,         4.2169,         6.7871,         6.0833,         8.4286
     531,        10.0754,        12.4594,        10.1844,        12.6119,         3.5627,         6.0291,         3.5593,         5.9647,         5.2409,         7.7434
     532,        10.1231,        12.5278,        10.2378,        12.6840,         3.4279,         6.2571,         3.1931,         5.6876,         4.2968,         6.8985
     533,        10.1209,        12.5325,        10.2389,        12.6855,         4.5988,         7.1889,         4.6105,         7.1091,         4.8883,         7.4697
