development_projects_id,raw_id,building_name,site_name,action,scen0,scen3,scen1,scen2,scen4,scen5,address,city,zip,county,x,y,geom_id,year_built,duration,building_type_id,building_type,building_sqft,non_residential_sqft,residential_units,unit_ave_sqft,tenure,rent_type,stories,parking_spaces,Average Weighted Rent,rent_ave_sqft,rent_ave_unit,last_sale_year,last_sale_price,source,apn
2089,10199,0,,build,1,1,1,1,1,1,2181  2191 2193 Francisco Ave,Santa Rosa,,Sonoma,-122.761728,38.47828926,10770090409816,2015,,,HS,163200.0,0.0,136.0,,,,,,,,,,,ABAG,Santa Rosa-034-030-044
2090,10200,0,,build,1,1,1,1,1,1,3500 Lake Park Dr,Santa Rosa,,Sonoma,-122.7176081,38.47388076,8180741807193,2015,,,HS,44400.0,0.0,37.0,,,,,,,,,,,ABAG,Santa Rosa-173-270-005
2091,10201,0,,build,0,0,0,0,0,0,3366 Mendocino Ave,Santa Rosa,,Sonoma,-122.7224957,38.47150821,10580021185780,2015,,,RS,40000.0,40000.0,0.0,,,,,,,,,,,ABAG,Santa Rosa-173-050-010
2092,10202,0,,build,1,1,1,1,1,1,8 West 9th St; 806 Donahue St,Santa Rosa,,Sonoma,-122.7239553,38.44033798,169610042353,2015,,,HS,87600.0,0.0,73.0,,,,,,,,,,,ABAG,Santa Rosa-010-091-007
2093,10203,0,,build,1,1,1,1,1,1,2650 2666 2684  Dutton Meadow,Santa Rosa,,Sonoma,-122.7275605,38.41202622,16556500155588,2015,,,HS,192000.0,0.0,160.0,,,,,,,,,,,ABAG,Santa Rosa-043-071-007
2094,10204,0,,build,1,1,1,1,1,1,888 Fourth St,Santa Rosa,,Sonoma,-122.7077867,38.44296423,9630892622085,2015,,,MR,177746.0,6146.0,143.0,,,,,,,,,,,ABAG,Santa Rosa-009-061-050
2095,10205,0,,build,1,1,1,1,1,1,2957 Dutton Meadow,Santa Rosa,,Sonoma,-122.7308185,38.40510676,11430144686025,2015,,,HS,63600.0,0.0,53.0,,,,,,,,,,,ABAG,Santa Rosa-043-121-001
2096,10206,0,,build,1,1,1,1,1,1,2660 2630 Petaluma Hill Rd ,Santa Rosa,,Sonoma,-122.7036551,38.41586602,11237994699741,2015,,,HS,151200.0,0.0,126.0,,,,,,,,,,,ABAG,Santa Rosa-044-051-035
2097,10207,0,,build,1,1,1,1,1,1,1072 Kawana Spring Rd,Santa Rosa,,Sonoma,-122.7027632,38.4160878,12628739229859,2015,,,RS,98500.0,98500.0,0.0,,,,,,,,,,,ABAG,Santa Rosa-044-051-049
2098,10208,0,,build,0,0,0,0,0,0,210 Fifth St,Santa Rosa,,Sonoma,-122.7190303,38.4378284,14366301335469,2015,,,ME,51292.0,51292.0,0.0,,,,,,,,,,,ABAG,Santa Rosa-010-072-015
2099,10209,0,,build,1,1,1,1,1,1,1755 Sebastopol Rd,Santa Rosa,,Sonoma,-122.7394419,38.42865875,10638289227667,2015,,,HT,259600.0,22000.0,198.0,,,,,,,,,,,ABAG,Santa Rosa-125-071-014
2100,10210,0,,build,1,1,1,1,1,1,1598 Becky Ct,Santa Rosa,,Sonoma,-122.739083,38.46223148,14585731849758,2015,,,HM,124800.0,0.0,104.0,,,,,,,,,,,ABAG,Santa Rosa-041-200-018
2101,10211,0,,build,1,1,1,1,1,1,6525  6535 Oakmont Dr,Santa Rosa,,Sonoma,-122.6044868,38.44342309,8087033907348,2015,,,HS,43200.0,0.0,36.0,,,,,,,,,,,ABAG,Santa Rosa-016-090-013
2102,10212,0,,build,1,1,1,1,1,1,2800 Kawana Springs Rd,Santa Rosa,,Sonoma,-122.6907775,38.4174055,2035265366787,2015,,,HM,36000.0,0.0,30.0,,,,,,,,,,,ABAG,Santa Rosa-044-500-070
2103,10213,0,,build,1,1,1,1,1,1,3700 Fir Ridge Dr,Santa Rosa,,Sonoma,-122.7096793,38.49390675,5438161213241,2015,,,HT,43200.0,0.0,36.0,,,,,,,,,,,ABAG,Santa Rosa-173-620-030
2104,10214,0,,build,0,0,0,0,0,0,1810 Sebastopol Rd,Santa Rosa,,Sonoma,-122.7396185,38.42661624,1110104349774,2015,,,IL,5600.0,5600.0,0.0,,,,,,,,,,,ABAG,Santa Rosa-125-131-075
2105,10215,0,,build,1,1,1,1,1,1,2384 2410 Stony Point Rd,Santa Rosa,,Sonoma,-122.7381442,38.41435907,8226549611873,2015,,,HM,67200.0,0.0,56.0,,,,,,,,,,,ABAG,Santa Rosa-125-521-004
2106,10216,0,,build,1,1,1,1,1,1,2786 Dutton Meadow,Santa Rosa,,Sonoma,-122.7276957,38.40953406,6112813535247,2015,,,HT,38400.0,0.0,32.0,,,,,,,,,,,ABAG,Santa Rosa-043-071-038
2107,10217,0,,build,0,0,0,0,0,0,2870 Duke Ct,Santa Rosa,,Sonoma,-122.7225443,38.40792367,15543071026515,2015,,,IL,16390.0,16390.0,0.0,,,,,,,,,,,ABAG,Santa Rosa-043-260-009
2108,10218,Summerhill / Michael Keaney,,build,1,1,1,1,1,1,617 E Arques Ave,Sunnyvale,,Santa Clara,-122.0175139,37.38207559,4028964098857,2013,,,HM,102000.0,0.0,85.0,,,,,,,,,,,ABAG,Sunnyvale-20530010
2109,10219,D.R. Horton  Kelly Snider,,build,1,1,1,1,1,1,701-729 E Evelyn Ave,Sunnyvale,,Santa Clara,-122.0166946,37.3722557,10293481029102,2014,,,HM,244800.0,0.0,204.0,,,,,,,,,,,ABAG,Sunnyvale-20901011
2110,10220,Midpeninsula Housing Corp,,build,1,1,1,1,1,1,460 Persian Dr.,Sunnyvale,,Santa Clara,-122.0131948,37.40528804,8412716258050,2015,,,HM,79200.0,0.0,66.0,,,,,,,,,,,ABAG,Sunnyvale-11029028
2111,10221,Classic Communities  Jim Pollart,,build,1,1,1,1,1,1,1071 Noriega,Sunnyvale,,Santa Clara,-122.0484845,37.3783601,8157652812947,2014,,,HM,12000.0,0.0,10.0,,,,,,,,,,,ABAG,Sunnyvale-16137018
2112,10222,Classic Communities  Jim Pollart,,build,1,1,1,1,1,1,423 E. Maude Ave.,Sunnyvale,,Santa Clara,-122.0211967,37.38695073,294987573953,2015,,,HM,13200.0,0.0,11.0,,,,,,,,,,,ABAG,Sunnyvale-20421006
