pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
ccg1_j,1940.0,3834.0,245.0,217.0,379.0,1099.0,832.0,1259.0,1576.0,9.0,47.0,121.0,532.0,389.0,478.0,1.16586538462,620487.0,393.710025381
new2,217.0,700.0,33.0,51.0,51.0,82.0,150.0,71.0,216.0,1.0,50.0,23.0,54.0,49.0,39.0,0.723333333333,130689.0,605.041666667
vta1_f,377.0,1086.0,46.0,62.0,109.0,160.0,230.0,159.0,744.0,1.0,361.0,73.0,107.0,65.0,137.0,0.819565217391,580789.0,780.630376344
vta1_e,361.0,733.0,74.0,44.0,76.0,167.0,70.0,310.0,963.0,0.0,121.0,29.0,337.0,251.0,225.0,2.57857142857,475102.0,493.356178609
vta1_k,87.0,275.0,19.0,14.0,16.0,38.0,72.0,18.0,182.0,12.0,16.0,9.0,16.0,99.0,30.0,0.604166666667,94659.0,520.104395604
fai1,591.0,1568.0,214.0,192.0,123.0,62.0,362.0,288.0,4264.0,0.0,242.0,99.0,725.0,1159.0,2039.0,0.816298342541,1844941.0,432.678470919
fai4,693.0,2130.0,161.0,195.0,190.0,147.0,244.0,370.0,1059.0,3.0,261.0,196.0,188.0,169.0,242.0,1.42008196721,871661.0,823.098205855
ben1,620.0,1195.0,152.0,120.0,131.0,217.0,181.0,455.0,2101.0,1.0,127.0,161.0,622.0,666.0,524.0,1.71270718232,1055061.0,502.170871014
liv2,230.0,684.0,17.0,28.0,52.0,133.0,237.0,0.0,3878.0,17.0,1056.0,198.0,1377.0,243.0,987.0,0.485232067511,3482250.0,897.949974214
cot1,369.0,932.0,64.0,78.0,104.0,123.0,191.0,200.0,580.0,2.0,23.0,81.0,111.0,157.0,206.0,0.965968586387,346070.0,596.672413793
sra1,1661.0,3552.0,359.0,306.0,308.0,688.0,506.0,1253.0,9639.0,23.0,884.0,1496.0,2801.0,2535.0,1900.0,1.64130434783,5143501.0,533.613549123
sra2,1009.0,2167.0,188.0,227.0,215.0,379.0,450.0,608.0,6850.0,10.0,303.0,389.0,870.0,2414.0,2864.0,1.12111111111,3335576.0,486.94540146
new1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dub1,332.0,887.0,28.0,35.0,75.0,194.0,153.0,47.0,4294.0,5.0,463.0,1131.0,743.0,950.0,1002.0,1.08496732026,3301600.0,768.886818817
ber3,269.0,595.0,98.0,53.0,72.0,46.0,65.0,171.0,2443.0,5.0,321.0,248.0,320.0,928.0,621.0,2.06923076923,1588087.0,650.056078592
hay3_a,38.0,124.0,5.0,7.0,18.0,8.0,26.0,14.0,327.0,0.0,9.0,155.0,51.0,82.0,30.0,0.730769230769,265578.0,812.165137615
ccg1_e,2148.0,5590.0,406.0,366.0,580.0,796.0,1117.0,1149.0,3036.0,3.0,146.0,462.0,476.0,1251.0,698.0,0.961504028648,1705262.0,561.680500659
mar1,706.0,1354.0,256.0,221.0,134.0,95.0,336.0,420.0,8023.0,0.0,2060.0,80.0,462.0,465.0,4956.0,1.0505952381,4271738.0,532.436495077
laf1,1696.0,3754.0,267.0,237.0,333.0,859.0,275.0,1524.0,6832.0,13.0,1089.0,599.0,1914.0,2125.0,1092.0,3.08363636364,3383822.0,495.290105386
sfo5,2888.0,5727.0,1134.0,662.0,472.0,620.0,1.0,3137.0,2691.0,19.0,811.0,112.0,923.0,613.0,213.0,1444.0,6509056.0,2418.82422891
ccg1_k,54.0,177.0,7.0,8.0,13.0,26.0,19.0,41.0,212.0,1.0,31.0,39.0,39.0,53.0,49.0,1.42105263158,181453.0,855.910377358
elc1_a,248.0,529.0,69.0,62.0,69.0,48.0,23.0,242.0,1673.0,2.0,87.0,583.0,234.0,516.0,251.0,5.39130434783,2089928.0,1249.20980275
wcc1_b,260.0,604.0,60.0,62.0,79.0,59.0,31.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1935483871,0.0,0.0
wcc1_e,98.0,343.0,31.0,22.0,28.0,17.0,28.0,70.0,183.0,0.0,5.0,35.0,16.0,77.0,50.0,1.75,176616.0,965.114754098
pin2,521.0,1426.0,64.0,110.0,157.0,190.0,321.0,206.0,2465.0,5.0,983.0,135.0,414.0,539.0,389.0,0.811526479751,1160482.0,470.783772819
