serialno,puma1,asian,black,hisp,white
1634649,40,0,0,0,1
1637643,40,0,0,0,1
1640445,40,0,0,0,1
1643018,40,0,0,0,1
1644287,40,0,0,0,1
1644704,40,0,0,0,1
1644918,40,0,0,0,1
1645833,40,0,0,0,1
1649504,40,0,0,0,1
1651983,40,0,0,0,1
1656477,40,0,0,0,1
1657320,40,0,0,0,1
1658270,40,0,0,0,1
1658752,40,0,0,0,1
1661115,40,0,0,0,1
1663020,40,0,0,0,1
1665438,40,0,0,0,1
1666466,40,0,0,0,1
1668679,40,0,0,0,1
1673166,40,0,0,0,1
1673421,40,0,0,0,1
1677760,40,0,0,0,1
1679986,40,0,0,0,1
1682006,40,0,0,0,1
1689862,40,0,0,0,1
1690759,40,0,0,0,1
1695366,40,0,0,0,1
1695914,40,0,0,0,1
1697946,40,0,0,0,1
1698651,40,0,0,0,1
1700734,40,0,0,0,1
1703583,40,0,0,0,1
1704303,40,0,0,0,1
1714163,40,0,0,0,1
1725689,40,0,0,0,1
1726378,40,0,0,0,1
1735911,40,0,0,0,1
1737713,40,0,0,0,1
1740415,40,0,0,0,0
1740490,40,0,0,0,1
1750701,40,0,0,0,1
1759643,40,0,0,0,1
1769790,40,0,0,0,1
1770533,40,0,0,1,1
1775486,40,0,0,0,1
1778248,40,0,0,0,1
1782089,40,0,0,0,1
1784471,40,0,0,0,1
1785429,40,0,0,0,1
1789895,40,0,0,0,1
1791869,40,0,0,0,1
1792399,40,0,0,0,1
1794102,40,0,0,0,1
1794578,40,0,0,0,1
1794668,40,0,0,0,1
1795543,40,0,0,0,1
1797169,40,0,0,0,1
1798224,40,0,0,0,1
1798622,40,0,0,0,1
1799796,40,0,0,0,1
1800537,40,0,0,0,1
1802663,40,0,0,0,1
1805763,40,0,0,0,1
1809788,40,0,0,0,1
1811433,40,0,0,0,1
1812074,40,0,0,0,1
1812709,40,0,0,0,1
1813922,40,0,0,0,1
1814666,40,0,0,0,1
1827819,40,0,0,0,1
1830661,40,0,0,0,1
1832554,40,0,0,0,1
1834342,40,0,0,1,0
1834936,40,0,0,0,1
1836244,40,0,0,0,1
1842060,40,0,0,1,1
1842636,40,0,0,0,1
1845405,40,0,0,0,1
1847085,40,0,0,1,1
1850088,40,0,0,0,1
1850280,40,0,0,0,1
1853485,40,0,0,0,1
1859332,40,0,0,0,1
1863236,40,0,0,0,1
1864068,40,0,0,0,1
1869553,40,0,0,0,1
1871873,40,0,0,0,1
1872050,40,0,0,1,1
1872680,40,0,0,0,1
1872983,40,0,0,0,1
1876869,40,0,0,0,1
1882513,40,0,0,0,1
1886305,40,0,0,0,1
1890557,40,0,0,0,1
1890951,40,0,0,0,1
1894543,40,0,0,0,1
1903693,40,0,0,0,1
1905272,40,0,0,0,1
1913682,40,0,0,0,1
1914822,40,0,0,0,1
1915187,40,0,0,0,1
1917371,40,0,0,1,1
1918748,40,0,0,0,1
1922686,40,0,0,0,1
1923776,40,0,0,0,1
1934390,40,0,0,0,1
1934630,40,0,0,0,1
1934829,40,0,0,0,1
1937697,40,0,0,0,1
1938429,40,0,0,0,1
1939522,40,0,0,0,1
1942968,40,0,0,0,1
1943764,40,0,0,0,1
1944851,40,0,0,0,1
1945039,40,0,0,1,0
1949757,40,0,0,0,1
1950234,40,0,0,0,1
1951096,40,0,0,0,1
1953602,40,0,0,0,1
1954691,40,0,0,0,1
1956523,40,0,0,0,1
1960320,40,0,0,0,1
1961639,40,0,0,0,1
1967969,40,0,0,0,1
1968555,40,0,0,0,1
1971723,40,0,0,0,1
1971749,40,0,0,0,1
1971867,40,0,0,0,1
1975568,40,0,0,0,1
1977030,40,0,0,0,1
1977860,40,0,0,0,1
1983353,40,0,0,0,1
1983985,40,0,0,0,1
1985042,40,0,0,0,1
1993998,40,0,0,0,1
1997687,40,1,0,0,0
1999564,40,0,0,0,1
2002354,40,0,0,0,1
2011884,40,0,0,0,1
2014191,40,0,0,1,0
2016488,40,0,0,0,1
2016494,40,0,0,0,1
2018901,40,0,0,0,1
2019118,40,0,0,0,1
2020643,40,0,0,0,1
2021965,40,0,0,0,1
2022310,40,0,0,0,1
2023738,40,0,0,0,1
2025919,40,0,0,0,1
2027303,40,0,0,1,0
2028551,40,0,0,0,1
2032719,40,0,0,0,1
2035867,40,0,0,0,1
2036756,40,0,0,0,1
2037173,40,0,0,0,1
2037551,40,0,0,0,1
2042977,40,0,0,0,1
2044640,40,0,0,0,1
2044690,40,0,0,0,1
2050902,40,0,0,0,1
2062645,40,0,0,0,1
2063112,40,0,0,0,1
2063178,40,1,0,0,0
2069545,40,0,0,0,1
2071255,40,0,0,0,1
2072524,40,0,0,0,1
2073572,40,0,0,0,1
2073756,40,0,0,0,1
2074260,40,0,0,0,1
2074809,40,0,0,0,1
2076489,40,0,0,0,1
2079824,40,0,0,0,1
2080101,40,0,0,0,1
2081841,40,0,0,0,1
2090880,40,0,0,0,1
2092428,40,0,0,1,0
2094147,40,0,0,0,1
2097089,40,0,0,0,1
2097610,40,0,0,1,1
2099650,40,0,0,0,1
2101793,40,0,0,0,1
2104818,40,0,0,0,1
2105321,40,0,0,1,1
2111065,40,0,0,0,1
2111505,40,0,0,0,1
2114045,40,0,0,0,1
2115571,40,0,0,0,1
2117546,40,0,0,1,1
2137975,40,0,0,0,1
2138332,40,0,0,0,0
2148188,40,0,0,0,1
2149429,40,0,0,0,1
2150868,40,0,0,0,1
2151324,40,0,0,0,1
2151548,40,0,0,0,1
2153795,40,0,0,0,1
2156987,40,0,0,0,1
2160697,40,0,0,0,1
2161358,40,0,0,0,1
2164285,40,0,0,0,1
2167715,40,0,0,0,1
2170008,40,0,0,0,1
2171076,40,0,0,0,1
2173999,40,0,0,0,1
2178675,40,0,0,0,1
2179520,40,0,0,0,1
2180391,40,0,0,0,1
2181993,40,0,0,0,1
2187608,40,0,0,0,1
2190117,40,0,0,0,1
2190322,40,0,0,0,1
