County,Taz,Local Govt Jobs per TAZ pop,ed_k12 Jobs per TAZ pop,County Govt Jobs per County Pop,State Govt Jobs per Reg Pop,Federal Govt Jobs per Reg Pop,ed_high Jobs per Reg Pop
San Mateo,302,0.0086264,0.0117805,0,0,0,0
San Mateo,303,0.0086264,0.0117805,0,0,0,0
San Mateo,304,0.0086264,0.0155667,0,0,0,0.0000096
San Mateo,305,0.0086264,0.0155667,0,0,0,0.0000028
San Mateo,306,0.0086264,0.0155667,0,0,0,0
San Mateo,307,0.0086264,0.0155667,0,0,0,0.0000078
San Mateo,308,0.0086264,0.0155667,0,0,0,0.0000075
San Mateo,309,0.0086264,0.0155667,0.0002098,0,0,0.0000377
San Mateo,310,0.0086264,0.0155667,0.0004826,0.0000041,0,0
San Mateo,311,0.0086264,0.0117805,0.0002882,0,0,0.0000007
San Mateo,312,0.0086264,0.0117805,0,0,0,0.0000042
San Mateo,313,0.0086264,0.0117805,0.0000336,0,0.0000016,0
San Mateo,314,0.0086264,0.0117805,0.0001399,0,0,0.0000085
San Mateo,315,0.0086264,0.0117805,0.0036607,0.0000762,0,0.0000071
San Mateo,316,0.0086264,0.0117805,0.0000042,0,0,0.0000072
San Mateo,317,0.0086264,0.0117805,0.0000224,0,0.0000004,0.0000367
San Mateo,318,0.0086264,0.0155667,0.0000014,0,0,0.0000006
San Mateo,319,0.0086264,0.0117805,0.0000028,0,0,0.0000071
San Mateo,320,0.0086264,0.0117805,0,0,0,0
San Mateo,321,0.0086264,0.0117805,0,0,0,0.0000144
San Mateo,322,0.0086264,0.0117805,0,0,0,0.0000302
San Mateo,323,0.0086264,0.0117805,0,0,0,0
San Mateo,324,0.0086264,0.0117805,0,0,0,0
San Mateo,325,0.0086264,0.0117805,0,0,0,0.0000158
San Mateo,326,0.0086264,0.0117805,0.000042,0,0,0
San Mateo,327,0.0086264,0.0117805,0,0,0,0
San Mateo,328,0.0086264,0.0117805,0,0,0,0
San Mateo,329,0.0086264,0.0117805,0.0001539,0,0,0.0000085
San Mateo,330,0.0086264,0.0117805,0,0,0,0.0000071
San Mateo,331,0.0086264,0.0096858,0,0,0.0000071,0.0000003
San Mateo,332,0.0086264,0.011366,0.0000378,0,0,0.0000254
San Mateo,333,0.0086264,0.011366,0,0,0,0.0000142
San Mateo,334,0.0086264,0.011366,0.0000224,0,0,0.0000071
San Mateo,335,0.0086264,0.011366,0,0,0,0
San Mateo,336,0.0086264,0.0096858,0,0,0,0.0000082
San Mateo,337,0.0086264,0.0096858,0.0000224,0,0.0004231,0
San Mateo,338,0.0086264,0.0096858,0,0,0,0.0000045
San Mateo,339,0.0086264,0.0560232,0.0000154,0,0,0.0000381
San Mateo,340,0.0086264,0.0096858,0,0,0.0000794,0
San Mateo,341,0.0086264,0.0096858,0,0.0000014,0,0
