pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
hay3_b,1289.0,3735.0,296.0,320.0,298.0,375.0,125.0,1066.0,504.0,1.0,23.0,80.0,100.0,231.0,69.0,5.156,489053.0,970.343253968
pin1,62.0,174.0,21.0,20.0,11.0,10.0,41.0,25.0,2364.0,4.0,315.0,619.0,403.0,753.0,270.0,0.756097560976,1280579.0,541.700084602
ber6,464.0,978.0,188.0,127.0,74.0,75.0,34.0,461.0,2175.0,1.0,140.0,237.0,349.0,785.0,663.0,6.82352941176,1348901.0,620.184367816
vta1_b,2261.0,5983.0,568.0,396.0,482.0,815.0,422.0,1947.0,9947.0,30.0,3210.0,984.0,1817.0,3141.0,765.0,2.67890995261,5710196.0,574.062129285
ccc3_a,846.0,2743.0,342.0,240.0,148.0,116.0,366.0,541.0,733.0,1.0,218.0,71.0,127.0,156.0,160.0,1.15573770492,488637.0,666.626193724
ori1,228.0,591.0,25.0,20.0,27.0,156.0,0.0,231.0,2753.0,43.0,148.0,201.0,936.0,941.0,484.0,0.0,1398868.0,508.124954595
ccg1_c,4317.0,11910.0,1036.0,878.0,1200.0,1203.0,2492.0,2158.0,6252.0,9.0,656.0,707.0,867.0,3016.0,997.0,0.866171749599,3443646.0,550.807101727
ssf1,1014.0,3254.0,353.0,292.0,214.0,155.0,604.0,463.0,1973.0,3.0,206.0,253.0,423.0,526.0,562.0,0.83940397351,1205429.0,610.962493664
bur1,7007.0,15429.0,1338.0,1536.0,1435.0,2698.0,2845.0,4576.0,11468.0,38.0,820.0,1747.0,2768.0,3950.0,2145.0,1.23145869947,5554052.0,484.308685037
mil1,132.0,349.0,45.0,33.0,28.0,26.0,1.0,145.0,712.0,2.0,35.0,118.0,87.0,307.0,163.0,66.0,437784.0,614.865168539
ccg1_f,10403.0,22665.0,2362.0,2185.0,2297.0,3559.0,3062.0,7762.0,7393.0,7.0,327.0,1019.0,2750.0,1983.0,1307.0,1.69872632266,3268083.0,442.050994184
ccg1_g,2328.0,5601.0,444.0,441.0,663.0,780.0,1082.0,1371.0,4545.0,3.0,649.0,574.0,1224.0,1218.0,877.0,1.07578558226,2434005.0,535.534653465
ccg1_h,2673.0,5847.0,530.0,533.0,587.0,1023.0,1354.0,1332.0,6716.0,18.0,1436.0,773.0,1557.0,1424.0,1508.0,0.987075332349,4529055.0,674.367927338
ccg1_l,2383.0,8132.0,641.0,493.0,603.0,646.0,1905.0,605.0,2687.0,2.0,703.0,127.0,647.0,442.0,766.0,0.625459317585,2238139.0,832.950874581
ccg1_j,1982.0,4084.0,361.0,311.0,399.0,911.0,832.0,1259.0,1567.0,9.0,37.0,122.0,523.0,400.0,476.0,1.19110576923,585384.0,373.569878749
new2,214.0,683.0,53.0,55.0,62.0,44.0,150.0,71.0,213.0,1.0,41.0,23.0,54.0,54.0,40.0,0.713333333333,130689.0,613.563380282
vta1_f,366.0,1030.0,82.0,100.0,105.0,79.0,230.0,159.0,772.0,3.0,328.0,77.0,107.0,111.0,146.0,0.795652173913,580789.0,752.317357513
vta1_e,357.0,749.0,102.0,55.0,75.0,125.0,70.0,310.0,988.0,2.0,111.0,30.0,337.0,281.0,227.0,2.55,475102.0,480.872469636
vta1_k,83.0,258.0,23.0,18.0,20.0,22.0,72.0,18.0,178.0,12.0,13.0,9.0,16.0,99.0,29.0,0.576388888889,94659.0,531.792134831
fai1,608.0,1585.0,345.0,173.0,54.0,36.0,362.0,288.0,4253.0,4.0,202.0,98.0,719.0,1211.0,2019.0,0.839779005525,1824833.0,429.069597931
fai4,686.0,2044.0,277.0,204.0,143.0,62.0,244.0,370.0,1078.0,10.0,236.0,202.0,184.0,203.0,243.0,1.40573770492,852061.0,790.409090909
ben1,625.0,1208.0,209.0,133.0,131.0,152.0,181.0,455.0,2087.0,3.0,106.0,164.0,614.0,684.0,516.0,1.72651933702,992667.0,475.64302827
liv2,222.0,661.0,28.0,41.0,65.0,88.0,237.0,0.0,3735.0,32.0,897.0,199.0,1363.0,260.0,984.0,0.46835443038,3446283.0,922.699598394
cot1,362.0,903.0,97.0,97.0,91.0,77.0,191.0,200.0,590.0,3.0,25.0,81.0,109.0,168.0,204.0,0.947643979058,346070.0,586.559322034
sra1,1660.0,3607.0,516.0,346.0,308.0,490.0,506.0,1253.0,9858.0,33.0,752.0,1505.0,2788.0,2840.0,1940.0,1.64031620553,5143501.0,521.759078921
sra2,998.0,2135.0,310.0,243.0,183.0,262.0,450.0,608.0,6871.0,14.0,264.0,392.0,867.0,2495.0,2839.0,1.10888888889,3335576.0,485.457138699
new1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dub1,325.0,877.0,43.0,52.0,88.0,142.0,153.0,47.0,4660.0,52.0,415.0,1154.0,769.0,1235.0,1035.0,1.06209150327,3294178.0,706.905150215
ber3,274.0,631.0,142.0,69.0,41.0,22.0,65.0,171.0,2483.0,5.0,281.0,250.0,320.0,1000.0,627.0,2.10769230769,1545230.0,622.323801853
hay3_a,39.0,119.0,11.0,13.0,10.0,5.0,26.0,14.0,347.0,0.0,10.0,158.0,52.0,95.0,32.0,0.75,265578.0,765.354466859
ccg1_e,2145.0,5500.0,616.0,542.0,473.0,514.0,1117.0,1149.0,3058.0,6.0,117.0,464.0,472.0,1304.0,695.0,0.960161145927,1705262.0,557.639633748
mar1,711.0,1356.0,340.0,237.0,98.0,36.0,336.0,420.0,8179.0,23.0,1746.0,93.0,497.0,839.0,4981.0,1.05803571429,4252318.0,519.906834576
