TAZ,shrq1_2010,shrq2_2010,shrq3_2010,shrq4_2010,shrw0_2010,shrw1_2010,shrw2_2010,shrw3_2010,shra1_2010,shra2_2010,shra3_2010,shra4_2010,shrn_2010,shry_2010,qmn,qsd,wmn,wsd,amn,asd
700097,0.088038741,0.43566586,0.207675545,0.268619855,0.37811138,0.326271186,0.249079903,0.04653753,0.178764897,0.114842904,0.478873239,0.22751896,0.766053269,0.233946731," 71,117 "," 4,732,243 ", 0.97800 , 77 , 50 ," 7,319 "
700098,0.385898438,0.244804688,0.282148438,0.087148438,0.260869565,0.461658659,0.240321888,0.037149889,0.145187602,0.252854812,0.378466558,0.223491028,0.76640625,0.23359375," 50,270 "," 1,574,198 ", 1.06490 , 54 , 47 ," 3,850 "
700099,0.580995671,0.108939394,0.265367965,0.04469697,0.260860155,0.461656674,0.240319474,0.037163698,0.14379085,0.229691877,0.363211951,0.263305322,0.766385281,0.233614719," 40,434 "," 3,039,779 ", 1.06494 , 97 , 49 ," 7,667 "
700100,0.560626206,0.20211232,0.179266306,0.057995169,0.222228464,0.614250936,0.157228464,0.006292135,0.223628692,0.358649789,0.375527426,0.042194093,0.829588015,0.170411985," 39,095 "," 1,451,609 ", 0.94947 , 134 , 38 ," 6,221 "
700101,0.379506726,0.285313901,0.202219731,0.132959641,0.222214749,0.614246317,0.157238627,0.006300307,0.176733781,0.376957494,0.389261745,0.05704698,0.829596413,0.170403587," 51,329 "," 1,950,614 ", 0.94951 , 112 , 38 ," 4,834 "
700102,0.524912791,0.189360465,0.24252907,0.043197674,0.318711665,0.422022616,0.202726665,0.056539054,0.143554007,0.347038328,0.379790941,0.129616725,0.771802326,0.228197674," 41,197 "," 1,851,827 ", 1.01405 , 60 , 42 ," 7,116 "
700103,0.243981337,0.319953344,0.275707621,0.160357698,0.192643857,0.433825816,0.298522551,0.075007776,0.301356102,0.202410849,0.406328478,0.089904571,0.591835148,0.408164852," 60,159 "," 4,594,223 ", 1.27840 , 143 , 45 ," 10,148 "
700105,0.015831325,0.221638554,0.49339759,0.26913253,0.22072821,0.328369358,0.385238199,0.065664233,0.223764094,0.162185603,0.43885516,0.175195143,0.666891566,0.333108434," 83,325 "," 6,735,170 ", 1.31554 , 117 , 48 ," 7,296 "
700106,0,0.253885113,0.207263755,0.538851132,0.220735931,0.328354978,0.385238095,0.065670996,0.226939971,0.206442167,0.43045388,0.136163982,0.666883117,0.333116883," 95,362 "," 5,967,094 ", 1.31555 , 65 , 45 ," 3,878 "
700107,0.143176519,0.243178923,0.284093368,0.329551191,0.220721154,0.328365385,0.385240385,0.065673077,0.246923708,0.188679245,0.453650533,0.110746514,0.666875,0.333125," 77,012 "," 6,082,292 ", 1.31557 , 117 , 45 ," 7,316 "
