tract_ba,census_tract,prop_eq,prop_fire,shaking
031400,06075031400,0.002245107,0.000748346,7.1
026100,06075026100,0.001960853,0.004914939,7
025800,06075025800,0.007328507,0.00803098,7.1
023200,06075023200,0.018082095,0.014174666,7.1
023102,06075023102,0.004529239,0.007993593,6.9
031100,06075031100,0.003642819,0.004811458,7
023003,06075023003,0.010203495,0.003651615,7.1
022902,06075022902,0.006085852,-2.65733E-12,6.6
022903,06075022903,0.005831544,-2.25017E-12,6.8
022701,06075022701,0.008582395,-8.04808E-13,6.9
022703,06075022703,0.01028833,5.51836E-13,6.9
022600,06075022600,0.018626679,1.8656E-12,6.8
030500,06075030500,0.0042721,-3.60596E-13,7.1
030400,06075030400,0.005031662,-1.18018E-13,7.1
032800,06075032800,0.004486987,0.00153511,7.1
030302,06075030302,0.005174403,-2.41366E-13,7.1
020400,06075020400,0.004519758,-7.91682E-13,7.1
030102,06075030102,0.003890409,-2.40428E-13,6.9
035100,06075035100,0.003837155,0.001759235,6.8
032700,06075032700,0.004522994,0.003239337,6.9
021600,06075021600,0.003667042,-1.341E-13,6.9
021400,06075021400,0.004479169,7.27747E-13,6.7
021000,06075021000,0.003083618,8.16468E-13,6.5
020900,06075020900,0.004832439,4.64994E-13,6.5
021300,06075021300,0.005236317,8.37898E-13,6.9
035201,06075035201,0.002571212,0.000495625,6.7
060300,06075060300,0.005365571,-2.76833E-12,6.6
022802,06075022802,0.010749564,-1.92295E-12,6.8
030301,06075030301,0.005220808,1.3043E-12,6.8
030101,06075030101,0.007037181,2.05979E-13,6.7
017700,06075017700,0.037148916,1.40147E-12,6.9
032600,06075032600,0.00469723,0.001052783,6.8
022801,06075022801,0.035644455,4.91204E-14,6.7
022702,06075022702,0.012323209,4.37409E-13,6.9
035202,06075035202,0.002536535,-7.00866E-13,6.7
022803,06075022803,0.006045521,-2.31672E-12,6.6
022901,06075022901,0.006043203,2.03005E-12,6.5
021200,06075021200,0.004321111,6.1773E-13,6.9
021100,06075021100,0.004593069,8.87675E-13,6.7
020700,06075020700,0.003103782,-3.57438E-13,6.7
020800,06075020800,0.003436512,3.33687E-13,6.6
020500,06075020500,0.005292493,-4.36966E-13,6.9
017100,06075017100,0.0086316,-9.00197E-13,7.1
017000,06075017000,0.007088904,8.52876E-13,7
030201,06075030201,0.00420842,-5.55049E-13,6.6
030202,06075030202,0.003574031,6.32142E-14,6.5
012700,06075012700,0.005359031,0.004815115,6.7
012600,06075012600,0.033682609,0.004680406,6.7
013000,06075013000,0.005949495,0.00382669,6.7
012900,06075012900,0.006154001,0.004722542,6.7
010600,06075010600,0.012177769,-1.27098E-12,7
010700,06075010700,0.03315347,5.58401E-13,6.9
010800,06075010800,0.005460263,-4.16657E-13,6.7
010300,06075010300,0.005512478,1.76022E-14,6.7
010900,06075010900,0.005629815,1.38831E-12,6.7
010200,06075010200,0.006864422,0.000457965,6.6
010400,06075010400,0.023850383,-2.75214E-12,6.9
010100,06075010100,0.03489217,3.7236E-12,6.8
020200,06075020200,0.034117702,3.88311E-12,6.9
016900,06075016900,0.006801923,-9.52903E-13,7
016800,06075016800,0.005509914,7.27687E-13,7
020100,06075020100,0.035099498,-5.66415E-13,6.9
016700,06075016700,0.00715315,3.47347E-13,7
016400,06075016400,0.007807624,-7.77485E-13,7
047901,06075047901,0.002732941,1.41326E-13,6.5
047800,06075047800,0.004035986,-5.96358E-13,6.5
047702,06075047702,0.004467792,-1.39732E-13,6.666666667
047600,06075047600,0.004728926,6.37174E-13,6.6
047701,06075047701,0.00496206,-3.43017E-13,6.666666667
017800,06075017800,0.033237965,2.41126E-12,7
017901,06075017901,0.005484049,-1.61957E-13,6.8
016300,06075016300,0.00937217,-2.1819E-13,7
015800,06075015800,0.006143113,0.000499074,7
016100,06075016100,0.003491437,1.45662E-12,7.1
016200,06075016200,0.008720217,1.99497E-13,7
017601,06075017601,0.040544297,-2.05023E-12,7
017602,06075017602,0.00480402,4.27876E-13,7
015700,06075015700,0.008344397,0.002766163,7
015600,06075015600,0.006814755,0.003514809,6.9
042600,06075042600,0.0052423,-1.17408E-12,6.666666667
016000,06075016000,0.003847782,1.61422E-12,7.1
012400,06075012400,0.008598615,1.12434E-12,7.1
040200,06075040200,0.00548404,4.00199E-13,6.666666667
040100,06075040100,0.006682214,0.000878779,6.8
042700,06075042700,0.003859484,2.46502E-13,6.7
015400,06075015400,0.007793763,0.00565622,6.9
060200,06075060200,0.005222021,5.58986E-12,6.5
013300,06075013300,0.007918532,0.005680035,6.9
013400,06075013400,0.00714757,0.00433358,6.9
015100,06075015100,0.004276938,3.02296E-13,7
013100,06075013100,0.00565909,-1.08913E-12,6.9
011100,06075011100,0.006256107,-5.06705E-13,6.9
011900,06075011900,0.004179166,-8.31302E-13,7
011700,06075011700,0.008863485,-2.02055E-13,7.1
010500,06075010500,0.0327682,-1.16269E-12,7.1
011800,06075011800,0.032983759,-7.17064E-12,7
011500,06075011500,0.037048686,2.66009E-12,7.1
013200,06075013200,0.006369746,0.004035518,6.9
012800,06075012800,0.035742753,0.004670148,6.7
013500,06075013500,0.006218583,9.11902E-13,6.9
011000,06075011000,0.006026987,1.64651E-12,6.8
011200,06075011200,0.005689677,-1.13752E-12,6.9
011300,06075011300,0.004385014,8.15077E-14,6.9
042800,06075042800,0.003798698,-1.3578E-12,6.5
012500,06075012500,0.008909378,1.99384E-13,7.1
012200,06075012200,0.008806492,1.67511E-12,7.1
015900,06075015900,0.003725224,-5.19055E-13,7.1
015500,06075015500,0.00450712,0.001550419,7
012300,06075012300,0.008963437,3.60257E-13,7.1
