jurisdiction,pda_id,tpp_id,exp_id,count,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,place_type,notes
06000,ber1,bart2,,162,,,,,,,,,
53000,ber1,bart2,,1,,,,,,,,,
06000,ber2,bart2,,406,,,,,,,,,
06000,ber3,b1,,302,,,,,,,,,
06000,ber3,b2,,32,,,,,,,,,
06000,ber4,bart2,,26,,,,,,,,,
06000,ber4,brt1,,16,,,,,,,,,
06000,ber5,brt1,,96,,,,,,,,,
06000,ber6,b1,,58,,,,,,,,,
06000,ber6,bart2,,138,,,,,,,,,
09066,bur1,b3,,741,,,,,,,,,
09066,bur1,bart3,,74,,,,,,,,,
47486,bur1,bart3,,1,,,,,,,,,
09066,bur1,brt2,,3419,,,,,,,,,
33798,bur1,brt2,,5,,,,,,,,,
09066,bur1,cr3,,13,,,,,,,,,
09066,bur1,cr4,,58,,,,,,,,,
10345,cam1,lrt3,,591,,,,,,,,,
00013,ccc1,bart3,,150,,,,,,,,,
00013,ccc2,b3,,359,,,,,,,,,
60620,ccc2,b3,,1,,,,,,,,,
00013,ccc2,,,867,,,,,,,,,
60620,ccc2,,,39,,,,,,,,,
00013,ccc3_a,b2,,395,,,,,,,,,
00013,ccc3_a,b3,,16,,,,,,,,,
00013,ccc3_a,bart3,,267,,,,,,,,,
57456,ccc3_a,bart3,,5,,,,,,,,,
00013,ccc3_b,bart3,,2,,,,,,,,,
57456,ccc3_b,bart3,,10,,,,,,,,,
00013,ccc4,b3,,78,,,,,,,,,
00013,ccc4,,,237,,,,,,,,,
17918,ccg1_a,b1,,380,,,,,,,,,
00081,ccg1_a,bart1,,5,,,,,,,,,
17918,ccg1_a,bart1,,886,,,,,,,,,
67000,ccg1_a,bart1,,7,,,,,,,,,
17918,ccg1_a,bart2,,453,,,,,,,,,
17918,ccg1_a,brt2,,1411,,,,,,,,,
17918,ccg1_a,lrt2,,138,,,,,,,,,
67000,ccg1_a,lrt2,,3,,,,,,,,,
14736,ccg1_b,b1,,31,,,,,,,,,
14736,ccg1_b,b2,,44,,,,,,,,,
14736,ccg1_b,bart2,,241,,,,,,,,,
73262,ccg1_b,brt2,,1,,,,,,,,,
14736,ccg1_c,b2,,4,,,,,,,,,
73262,ccg1_c,b2,,276,,,,,,,,,
73262,ccg1_c,b3,,10,,,,,,,,,
14736,ccg1_c,bart2,,64,,,,,,,,,
65028,ccg1_c,bart2,,2,,,,,,,,,
73262,ccg1_c,bart2,,1044,,,,,,,,,
73262,ccg1_c,brt2,,1628,,,,,,,,,
73262,ccg1_c,,,24,,,,,,,,,
65028,ccg1_d,b3,,6,,,,,,,,,
65028,ccg1_d,bart2,,2,,,,,,,,,
47486,ccg1_d,brt2,,5,,,,,,,,,
65028,ccg1_d,brt2,,1109,,,,,,,,,
47486,ccg1_d,,,1,,,,,,,,,
65028,ccg1_d,,,2,,,,,,,,,
47486,ccg1_e,b3,,217,,,,,,,,,
47486,ccg1_e,bart3,,675,,,,,,,,,
47486,ccg1_e,brt2,,600,,,,,,,,,
68252,ccg1_f,b2,,516,,,,,,,,,
68252,ccg1_f,b3,,122,,,,,,,,,
68252,ccg1_f,brt2,,4671,,,,,,,,,
68252,ccg1_f,cr3,,780,,,,,,,,,
68252,ccg1_f,cr4,,10,,,,,,,,,
65070,ccg1_h,b2,,912,,,,,,,,,
65070,ccg1_h,b3,,202,,,,,,,,,
65070,ccg1_h,brt2,,1155,,,,,,,,,
60102,ccg1_i,b2,,428,,,,,,,,,
00081,ccg1_i,b3,,6,,,,,,,,,
60102,ccg1_i,b3,,555,,,,,,,,,
60102,ccg1_i,brt2,,851,,,,,,,,,
60102,ccg1_i,,,1,,,,,,,,,
46870,ccg1_j,b2,,39,,,,,,,,,
46870,ccg1_j,b3,,74,,,,,,,,,
46870,ccg1_j,brt2,,1018,,,,,,,,,
46870,ccg1_j,cr3,,31,,,,,,,,,
46870,ccg1_j,cr4,,1,,,,,,,,,
00081,ccg1_k,bart2,,16,,,,,,,,,
00081,ccg1_l,b3,,16,,,,,,,,,
00081,ccg1_l,brt2,,71,,,,,,,,,
00081,ccg1_l,,,2156,,,,,,,,,
03092,ccg1_l,,,1,,,,,,,,,
60102,ccg1_l,,,8,,,,,,,,,
65028,ccg1_m,b3,,1,,,,,,,,,
65028,ccg1_m,bart2,,1,,,,,,,,,
00081,ccg1_m,brt2,,1,,,,,,,,,
05108,ccg1_m,brt2,,1,,,,,,,,,
73262,ccg1_m,brt2,,29,,,,,,,,,
14190,clo1,,,822,,,,,,,,,
16000,con1_a,bart3,,3,,,,,,,,,
16000,con1_a,,,17,,,,,,,,,
16000,con1_b,,,14,,,,,,,,,
16000,con2,b2,,421,,,,,,,,,
16000,con2,bart3,,555,,,,,,,,,
16000,con2,,,114,,,,,,,,,
16560,cot1,cr4,,123,,,,,,,,,
16560,cot1,,,251,,,,,,,,,
17918,dal1,b2,,1,,,,,,,,,
00081,dal1,brt1,,3,,,,,,,,,
08310,dal1,brt1,,1,,,,,,,,,
17918,dal1,brt1,,1205,,,,,,,,,
00081,dal1,lrt2,,2,,,,,,,,,
17918,dal1,lrt2,,167,,,,,,,,,
17918,dal1,,,106,,,,,,,,,
00081,dal2,bart1,,2,,,,,,,,,
17918,dal2,bart1,,439,,,,,,,,,
17918,dal2,bart2,,105,,,,,,,,,
17918,dal2,brt2,,105,,,,,,,,,
00081,dal2,lrt2,,1,,,,,,,,,
17918,dal2,lrt2,,146,,,,,,,,,
67000,dal2,lrt2,,9,,,,,,,,,
19402,dix1,,,556,,,,,,,,,
20018,dub1,bart3,,58,,,,,,,,,
20018,dub1,,,203,,,,,,,,,
20018,dub2,bart3,,19,,,,,,,,,
20018,dub2,,,1,,,,,,,,,
20018,dub3,b2,,1056,,,,,,,,,
20018,dub3,,,160,,,,,,,,,
21796,elc1_a,b1,,7,,,,,,,,,
60620,elc1_a,b1,,6,,,,,,,,,
21796,elc1_a,b2,,10,,,,,,,,,
21796,elc1_a,bart2,,159,,,,,,,,,
60620,elc1_a,bart2,,11,,,,,,,,,
21796,elc1_b,b2,,76,,,,,,,,,
60620,elc1_b,b2,,23,,,,,,,,,
21796,elc1_b,bart2,,219,,,,,,,,,
60620,elc1_b,bart2,,2,,,,,,,,,
22594,eme1,b1,,563,,,,,,,,,
53000,eme1,b1,,16,,,,,,,,,
22594,eme1,b2,,14,,,,,,,,,
20956,epa1,b3,,513,,,,,,,,,
00081,epa1,,,1,,,,,,,,,
20956,epa1,,,340,,,,,,,,,
46870,epa1,,,4,,,,,,,,,
23182,fai1,b2,,6,,,,,,,,,
00095,fai1,b3,,1,,,,,,,,,
23182,fai1,b3,,640,,,,,,,,,
75630,fai1,b3,,1,,,,,,,,,
00095,fai1,,,1,,,,,,,,,
23182,fai1,,,67,,,,,,,,,
00095,fai2,,,33,,,,,,,,,
23182,fai2,,,244,,,,,,,,,
23182,fai3,b2,,252,,,,,,,,,
23182,fai3,,,139,,,,,,,,,
00095,fai4,b3,,5,,,,,,,,,
23182,fai4,b3,,431,,,,,,,,,
23182,fai4,,,124,,,,,,,,,
26000,fre1,b2,,1036,,,,,,,,,
26000,fre1,b3,,980,,,,,,,,,
26000,fre1,brt2,,978,,,,,,,,,
26000,fre1,brt3,,1415,,,,,,,,,
26000,fre1,,,1189,,,,,,,,,
26000,fre2,b1,,48,,,,,,,,,
