x,y,apn
-122.380386053,37.7149614448,San Francisco-4886008
-122.493539674,37.731422683,San Francisco-PARKSUBL-2
-122.194550981,37.3034239119,Unincorporated San Mateo-80380040-1
-122.065007753,37.5861049939,Union City-483 010216305
-122.492521246,37.7218897222,San Francisco-7283004-2
-122.511364631,37.9599287878,San Rafael-1801309
-121.632758486,37.9864502942,Oakley-253544
-121.909256923,37.7095086509,Dublin-941 281400100
-122.614708382,37.9425631437,Unincorporated Marin-19712031-3
-122.067377975,37.5956760202,Union City-483 004210300
-122.253391084,37.790298054,Oakland-019 001300200
-121.912836637,37.7725354502,San Ramon-17749
-121.625911801,38.0137272441,Unincorporated Contra Costa-313299
-122.237871204,37.7295453227,Alameda-074 103314800
-121.719286431,37.9758165719,Oakley-231113
-122.014531648,38.2269715006,Unincorporated Solano-46140030-1
-121.971153581,38.0126301105,Pittsburg-323242
-121.706793318,37.9611367904,Brentwood-195861
-121.616081347,37.9066211917,Unincorporated Contra Costa-86388
-122.397875173,37.7201228979,San Francisco-5471028
-122.249406426,37.7388734313,Alameda-074 131912705-1
-122.636198462,38.2690305727,Petaluma-137-070-082
-122.703044812,38.3261367871,Cotati-144-360-028
-122.965784505,38.4386170721,Unincorporated Sonoma-075-070-016
-121.633443384,37.9846896282,Oakley-249449
-122.05505356,37.9283567337,Unincorporated Contra Costa-107783
-121.627206591,37.9923078039,Oakley-266936
-121.615789341,37.9066215257,Unincorporated Contra Costa-86414
-122.604986935,37.9794023539,Fairfax-307119
-121.734638235,37.6851812628,Livermore-099A290405300-1
-121.765027852,37.9978191724,Antioch-285270
-122.462405943,37.7180190749,San Francisco-7054038
-122.210289247,37.4099469627,Unincorporated San Mateo-74480300
-121.95250076,37.759816159,San Ramon-11203
-121.631979985,38.0150388225,Unincorporated Contra Costa-329193
-121.97551005,37.7804901271,Danville-22065
-122.089588416,37.7088230176,Unincorporated Alameda-084D130500700
-121.884030495,37.6514225711,Pleasanton-947 000302700
-121.638129861,38.0176955623,Unincorporated Contra Costa-309298
-121.638325736,37.9869257847,Oakley-259098
-122.229861763,37.7826493584,Oakland-025 073405100
-122.110768238,37.6883111934,Unincorporated Alameda-414 000102600
-121.631992676,37.9852368453,Oakley-250669
-122.135512976,37.9982577678,Martinez-297044
-122.113550266,38.2367618791,Unincorporated Solano-27242030
-121.758479868,37.9849825424,Antioch-257640
-121.61398598,37.9054103069,Unincorporated Contra Costa-85412
-123.094603213,38.7282104139,Unincorporated Sonoma-114-260-039-2
-122.489976244,37.9481137124,San Rafael-929111
-121.878662218,37.9045214959,Unincorporated Contra Costa-87914
-122.471943648,37.7240932069,San Francisco-6900001-5
-121.8764812,37.6850994187,Pleasanton-946 455002300
-121.722658831,37.9273143826,Brentwood-122177
-121.638349457,38.0188663952,Unincorporated Contra Costa-330052
-121.686373174,38.2706694716,Unincorporated Solano-42210370-1
-121.726222288,37.8953285019,Brentwood-78599
-121.754584473,37.9842217177,Antioch-251155
-122.257485454,37.8046746297,Oakland-010 076400101
-122.535737063,38.0594983766,Novato-16002049
-122.058813273,37.6252211217,Hayward-465 005501202
-121.966084501,38.0147226001,Pittsburg-329287
-122.084346814,37.5890586051,Union City-482 004503100
-121.884004929,37.7432506536,San Ramon-4433-2
-123.156875513,38.4701266302,Unincorporated Sonoma-109-140-011
-121.630026608,37.9841752874,Oakley-250788
-122.235599523,37.7510114459,Alameda-069 002700302
-121.972524596,37.5295247971,Fremont-525 096615200
-122.162622588,37.7210725787,San Leandro-075 004701000
-122.458817302,38.3263875906,Unincorporated Sonoma-127-022-065-3
-122.020374954,38.271921539,Fairfield-94142430
-121.683772422,37.7000494176,Unincorporated Alameda-099B560000700-2
-121.90753739,37.4865524957,Fremont-519 172611400
-121.95449223,37.5395308287,Fremont-525 015000107
-121.874163329,37.713644708,Dublin-986 001801200-2
-121.721765943,37.9290709297,Brentwood-125496
-122.341431989,37.9939406317,Richmond-293247
-122.800968214,38.5634791314,Windsor-161-350-039
-121.954000238,37.5302781709,Fremont-525 034200902
-122.578772217,38.6490598755,Unincorporated Napa-3333
-121.63813361,38.018982019,Unincorporated Contra Costa-330052
-121.638362886,37.9847066051,Oakley-249539
-121.72464261,37.9056629813,Brentwood-86544
-121.619267959,38.0326302103,Unincorporated Contra Costa-344017
-121.720246882,37.9333230307,Brentwood-133654
-121.616874125,37.9049317423,Unincorporated Contra Costa-84430
-121.630192656,37.987987013,Oakley-257522
-122.296331617,38.0960970656,Vallejo-66010100
-122.053892069,38.1661134097,Unincorporated Solano-46080010
-122.019280044,38.3125764462,Vacaville-167020050
-122.352679811,37.9158823188,Richmond-116901
-121.682943343,37.9332543346,Unincorporated Contra Costa-133537
-122.352399104,37.915946,Richmond-116861
-121.630217452,37.9901155423,Oakley-262889
-121.93138446,37.879292632,Unincorporated Contra Costa-68625-1
-121.639577218,37.9871748637,Oakley-266198-2
-122.255965346,37.8761915755,Berkeley-058 220200800
-121.753857933,37.983451528,Antioch-249935
-121.627822638,37.9873258799,Oakley-255493
-121.903402465,37.7693468301,San Ramon-17387-1
-122.349161374,37.9173535146,Richmond-120077-1
-122.241021496,37.7311834334,Alameda-074 107600202
-121.61282012,37.8085049927,Unincorporated Contra Costa-34040
-122.350742572,37.9115914733,Richmond-102498
-121.635047809,37.9857235762,Oakley-250964
-122.169241405,37.7291810234,San Leandro-075 020800500
-122.440838099,37.7325961538,San Francisco-6765017
-122.57075037,37.9100924649,Mill Valley-4601034
-122.522214988,37.8797203285,Unincorporated Marin-5218104
-121.615796689,37.9056548866,Unincorporated Contra Costa-85445
-121.905398327,37.7702064889,San Ramon-16901
-122.454692265,37.7390055038,San Francisco-3015003
-121.895667453,37.7960870918,Unincorporated Contra Costa-29409-2
-121.632622565,37.9853260153,Oakley-251068
-121.843199294,38.2128986607,Unincorporated Solano-48010230
-121.79258171,37.6996941844,Livermore-099 134409200
-121.688849732,37.9463679345,Brentwood-159148
-121.852099047,37.2481581545,San Jose-69427008
-122.413852159,37.7085529853,San Francisco-6360008
-121.769509173,37.6850161325,Livermore-098 025401300
-122.891163839,38.2489635068,Unincorporated Marin-10214012
-121.68307072,37.9202088382,Brentwood-109413
-122.228128467,38.146742527,Vallejo-68164020
-122.165159224,38.0541840202,Unincorporated Solano-89032110
-122.030974177,38.2966301552,Fairfield-167436040
-122.166613489,38.0515703043,Unincorporated Solano-89161100
-122.095183588,37.6062458466,Hayward-461 010300300
-122.082083828,37.5921667753,Union City-482 004201800
-122.380899241,37.9118713111,Richmond-110892
-121.788391433,37.6448172966,Unincorporated Alameda-099 047500406
-121.760668398,37.6635155364,Livermore-099 070106000-4
-121.639588118,37.9862789202,Oakley-250061
-121.614221358,37.9071004869,Unincorporated Contra Costa-86776
-121.936786157,37.5255346974,Fremont-513 070900600
-122.358059187,37.9202120155,Richmond-126051
-122.850212737,38.089597459,Unincorporated Marin-11404068
-121.633354199,37.984131782,Oakley-248326
-121.635226467,38.0147903321,Unincorporated Contra Costa-321832
-121.627061733,38.0123226902,Unincorporated Contra Costa-312374
-122.203299967,37.4056791205,Unincorporated San Mateo-134291510
-122.344119688,37.9116613008,Richmond-111474
-122.163989231,38.0493012397,Unincorporated Solano-89172130
-121.627056786,38.0175378402,Unincorporated Contra Costa-329016
-121.637070308,38.0147626506,Unincorporated Contra Costa-321336
-122.234674313,37.4925590265,Redwood City-52263120
-121.886497875,37.4022897236,San Jose-24402003
-121.615359866,38.020926319,Unincorporated Contra Costa-332197
-122.458193139,37.8774724082,Tiburon-5817184
-121.576997921,37.9105693494,Unincorporated Contra Costa-102222
-122.162702132,38.0491770527,Unincorporated Solano-89172030
-122.277944737,37.8065474308,Oakland-002 001700900-1
-121.887539302,37.7582271336,San Ramon-10298
-122.339620014,37.9124186594,Richmond-111940-1
-121.889262728,37.797513086,Unincorporated Contra Costa-29646-1
-121.629968657,38.0143515754,Unincorporated Contra Costa-329193
-121.615800112,37.905182565,Unincorporated Contra Costa-85076
-121.76264528,37.6798714755,Livermore-097 011600800
-121.966705563,37.9487211667,Concord-172630
-121.633043693,38.0154079491,Unincorporated Contra Costa-321832
-122.163621921,38.0506551595,Unincorporated Solano-89163050
-122.181571864,37.7232718716,San Leandro-077A065510600
-121.738911713,37.9236297379,Brentwood-117263
-122.437843987,37.4406698518,Half Moon Bay-65134090
-121.890748442,37.7465506924,San Ramon-5635
-122.535725424,37.8580076157,Unincorporated Marin-20003015
-121.864119708,37.3483668735,San Jose-46733091
-121.893952755,38.0072844003,Pittsburg-310953
-122.440689873,37.4736579149,Half Moon Bay-48270070
-121.615854684,38.0303681922,Unincorporated Contra Costa-341651
-122.012203077,37.8072220172,Unincorporated Contra Costa-35263
-121.636013192,38.0176667528,Unincorporated Contra Costa-329998
-121.940029227,37.6440880844,Unincorporated Alameda-941 220000301
-121.932797255,37.6993612815,Dublin-941 150001633-1
-122.059333853,37.8982667814,Walnut Creek-83061
-123.10887921,38.4238378052,Unincorporated Sonoma-099-060-002
-121.613993514,37.9047448249,Unincorporated Contra Costa-84848
-121.730757741,37.9612630327,Brentwood-196591
-121.614143461,37.8947211812,Unincorporated Contra Costa-80026
-121.855259223,37.148579396,Unincorporated Santa Clara-56224058
-122.239630595,38.0732901448,Vallejo-62030230
-121.952486668,37.534677101,Fremont-525 019507900
-123.120889855,38.5824081765,Unincorporated Sonoma-123-250-005-1
-122.717527303,38.7481546646,Unincorporated Sonoma-141-080-027-2
-122.180911153,37.7247586007,San Leandro-077A067107600
-122.18607123,37.7776206872,Oakland-037A270103000
-122.126721393,37.980711088,Martinez-254622
-121.638957786,37.9896766588,Oakley-266608-1
-122.161996536,37.4417959554,Palo Alto-12032031-6
-122.070856504,38.2944316187,Fairfield-151870060-1
-122.235268594,37.8637053542,Oakland-048H769104900
-121.975761255,37.4294354234,San Jose-01513025
-121.626151473,37.9856232934,Oakley-251500
-122.042811346,37.5345071597,Newark-092 001500600
-122.031609239,38.2073052976,Unincorporated Solano-46140050-1
-122.258910579,37.4011620497,Woodside-75060140
-121.973461512,38.1734318163,Unincorporated Solano-46190070
-121.930101853,37.7634508636,San Ramon-14183
-121.717007025,37.9974000237,Oakley-283840
-121.740801032,37.9114009927,Brentwood-94127
-122.351839804,37.9037150236,Unincorporated Contra Costa-116842-1
-123.115133835,38.4966545004,Unincorporated Sonoma-099-010-002
-121.632510988,37.9842617942,Oakley-249572
-122.224604301,37.481297878,Redwood City-53149010
-122.166668997,38.0477840649,Unincorporated Solano-89281030
-122.371499349,37.9509332883,Unincorporated Contra Costa-191863
-122.246359514,38.0870982652,Vallejo-61042130
-121.628829202,37.9850196451,Oakley-250829
-121.75282763,37.6936484978,Livermore-099 133609705
-122.479726378,37.7123960494,San Francisco-7380034
-121.532332148,36.9650868216,Unincorporated Santa Clara-84133003
-121.634830531,37.9874407988,Oakley-255961
-121.63192186,37.9855376364,Oakley-251204
-122.792663161,38.0473385814,Unincorporated Marin-16622010
-121.715504808,37.7093016404,Livermore-099B587500204
-122.159754833,37.4895547817,Menlo Park-55400997-1
-121.626049086,38.0132988844,Unincorporated Contra Costa-313299
-121.774814423,37.6909778955,Livermore-098 020600100
-121.7388354,37.9134492081,Brentwood-105256-1
-122.627083971,38.2232274057,Petaluma-008-256-013
-122.113046546,37.6889580411,Unincorporated Alameda-080B031601000
-123.129859543,38.5958448617,Unincorporated Sonoma-123-250-005-1
-122.288486426,37.8431408835,Emeryville-049 147301600
-122.285496805,37.7972068059,Oakland-000O040500400
-122.282421243,38.5471090077,Unincorporated Napa-7722
-123.115372684,38.4357458411,Unincorporated Sonoma-099-050-012
-122.184643867,37.8155928657,Oakland-029 120100101
-122.097243309,37.6658149427,Hayward-431 011100800
-122.16011983,37.9148758814,Unincorporated Contra Costa-110336
-121.887948867,37.6927052038,Pleasanton-941 280400300
-122.413361369,37.708417919,San Francisco-6361034
-122.430906822,37.6807705402,Unincorporated San Mateo-90100290-1
-122.251614407,37.8912923408,Berkeley-063 316001200
-122.530536366,38.1227016799,Novato-14323221
-121.86337798,37.2868069837,San Jose-45580050
-121.852881238,37.2474613791,San Jose-69426024
-122.297001135,37.8215239609,Oakland-000O050700500
-122.479350233,37.9421474195,Unincorporated Marin-1815411
-122.541899405,37.938994552,Larkspur-2019202
-122.47841473,37.8891329419,Tiburon-5521302
-122.914157276,38.2319187104,Unincorporated Marin-10404008
-122.862912663,38.1078367096,Unincorporated Marin-11209107
-122.843451153,38.1189990828,Unincorporated Marin-11906007
-122.628359191,38.1110786622,Unincorporated Marin-12514056
-121.790354932,37.6782154558,Livermore-099 017500401
-122.376313308,37.8302223008,San Francisco-8062001
-122.303987245,37.3403859702,Unincorporated San Mateo-78270030
-121.835253842,37.2116074126,San Jose-70119027
-121.779238713,37.2519566838,San Jose-67805063
-122.629008309,38.2377934334,Petaluma-007-103-008
-122.455850414,38.2941222764,Sonoma-018-171-006
-122.665327448,38.2590627749,Unincorporated Sonoma-048-074-020
-122.577930895,38.218221612,Petaluma-068-010-023-2
-123.102811512,38.4162825216,Unincorporated Sonoma-099-060-011
-123.012194069,38.3055285684,Unincorporated Sonoma-100-160-002-2
-122.216062804,37.809349495,Oakland-024 055100100
-121.743169535,37.6671846019,Unincorporated Alameda-099 090000500
-121.73701326,37.6664522476,Unincorporated Alameda-099 120001800
-122.214250995,37.8123304794,Oakland-029A133000500
-122.363356331,38.2068137425,Unincorporated Sonoma-128-491-016
-122.761704203,38.7616362507,Unincorporated Sonoma-141-040-017
-122.717415983,38.3505110598,Rohnert Park-143-040-017-3
-122.257247196,37.8366011788,Oakland-014 123401802
-122.271392744,37.8194947746,Oakland-009 069600100
-122.209758565,37.7646779099,Oakland-034 228402600
-122.163947551,37.7610251715,Oakland-043 462200102
-122.260828092,37.8771613329,Berkeley-058 219300200
-122.220838343,37.8478215505,Oakland-048H752600800
-122.208870738,37.7409178538,Oakland-042 440200911
-122.155172258,37.7259307775,San Leandro-077 055101400
-122.137929831,37.6996204939,San Leandro-077C131000600-2
-122.139579881,37.7010654753,San Leandro-077C131000700-2
-122.197245659,37.6909394235,San Leandro-080G090000108-1
-122.182734832,37.6964476147,San Leandro-080G092400209
-122.157153511,37.6747413803,San Leandro-080G132500501-3
-122.157153511,37.6747413803,San Leandro-080G132504800
-122.157153511,37.6747413803,San Leandro-080G132500501-3
-122.157153511,37.6747413803,San Leandro-080G132504800
-122.160822149,37.6768425546,San Leandro-080G140918700
-122.161195704,37.6765511847,San Leandro-080G140913700-2
-122.122152187,37.7870007571,Unincorporated Alameda-085 025001201
-122.07534519,37.7636379522,Unincorporated Alameda-085 053000200
-122.162916443,37.7487649014,Oakland-046 546800303
-122.031740246,37.5488336033,Newark-092A071805800
