zone_id,gid,tract,area,acres,tothh,hhpop,sfdu,mfdu,hhincq1,hhincq2,hhincq3,hhincq4,NEWdevacres,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn
1164,408,346102.0,20642590.0,473.8890075683594,,,,,,,,,,,,,,,,
1313,559,201700.0,177433104.0,4073.302978515625,,,,,,,,,,,,,,,,
48,593,13400.0,355845.1875,8.168999671936035,2142.0,3849.0,234.0,1908.0,289.0,287.0,437.0,1129.0,25.966673391761276,969.0,,39.0,54.0,338.0,351.0,187.0
160,668,26003.0,386296.9375,8.868000030517578,1217.0,3889.0,817.0,400.0,155.0,193.0,262.0,607.0,63.05436797790239,336.0,,13.0,19.0,105.0,109.0,90.0
618,1011,504417.0,9146487.0,209.9739990234375,,,,,,,,,,,,,,,,
53,724,60300.0,4449653.0,102.1500015258789,4.0,14.0,3.0,1.0,1.0,,1.0,2.0,1025.9206977198626,39.0,,,3.0,17.0,6.0,13.0
190,725,60400.0,6008646.0,137.94000244140625,327.0,550.0,53.0,274.0,158.0,74.0,37.0,58.0,408.40115010966167,414.0,,40.0,8.0,88.0,188.0,90.0
208,731,600100.0,15383620.0,353.15899658203125,,,,,,,,,,,,,,,,
206,733,600300.0,2320176.0,53.263999938964844,,,,,,,,,,,,,,,,
955,157,428000.0,541219.5,12.425000190734863,,,,,,,,,,,,,,,,
735,293,450601.0,50389920.0,1156.79296875,,,,,,,,,,,,,,,,
1143,394,343002.0,3438894.5,78.94599914550781,,,,,,,,,,,,,,,,
1175,403,345109.0,11216373.0,257.49200439453125,,,,,,,,,,,,,,,,
1156,421,353001.0,13625426.0,312.7969970703125,,,,,,,,,,,,,,,,
1036,107,420200.0,450826.375,10.350000381469727,,,,,,,,,,,,,,,,
1102,431,355303.0,64354524.0,1477.376953125,,,,,,,,,,,,,,,,
1167,401,345107.0,11031637.0,253.2519989013672,,,,,,,,,,,,,,,,
1161,405,345201.0,40051312.0,919.4520263671875,,,,,,,,,,,,,,,,
1079,443,360100.0,10259303.0,235.52099609375,,,,,,,,,,,,,,,,
1035,106,420100.0,525501.625,12.064000129699707,,,,,,,,,,,,,,,,
1062,467,378000.0,17448212.0,400.5559997558594,,,,,,,,,,,,,,,,
1404,485,101100.0,34191932.0,784.9390258789062,,,,,,,,,,,,,,,,
1448,531,130200.0,4116801.75,94.50900268554688,,,,,,,,,,,,,,,,
1424,496,106001.0,11780390.0,270.4410095214844,,,,,,,,,,,,,,,,
1427,502,110100.0,6949213.5,159.53199768066406,,,,,,,,,,,,,,,,
1292,551,201001.0,41205636.0,945.9509887695312,,,,,,,,,,,,,,,,
1428,506,112200.0,4475905.5,102.75299835205078,,,,,,,,,,,,,,,,
1418,507,113000.0,25478026.0,584.89501953125,,,,,,,,,,,,,,,,
1417,514,118200.0,72451840.0,1663.2650146484375,,,,,,,,,,,,,,,,
1436,515,119100.0,6612026.5,151.79100036621094,,,,,,,,,,,,,,,,
1452,527,127000.0,4387835.5,100.73100280761719,,,,,,,,,,,,,,,,
931,58,405700.0,542712.1875,12.458999633789062,,,,,,,,,,,,,,,,
1205,338,309000.0,18810024.0,431.8190002441406,,,,,,,,,,,,,,,,
1126,358,321102.0,5417219.5,124.36199951171875,,,,,,,,,,,,,,,,
1132,412,348000.0,9958161.0,228.60800170898438,,,,,,,,,,,,,,,,
1141,388,338302.0,6574711.0,150.93499755859375,,,,,,,,,,,,,,,,
1154,424,354002.0,14739704.0,338.37701416015625,,,,,,,,,,,,,,,,
1163,407,346101.0,8121337.0,186.44000244140625,,,,,,,,,,,,,,,,
835,205,435800.0,1331039.875,30.555999755859375,,,,,,,,,,,,,,,,
813,222,437300.0,1049834.625,24.10099983215332,,,,,,,,,,,,,,,,
28,573,11200.0,178771.09375,4.104000091552734,1898.0,3436.0,90.0,1808.0,415.0,287.0,382.0,814.0,12.077570887583732,741.0,1.0,37.0,28.0,427.0,123.0,125.0
747,279,443200.0,13355953.0,306.6099853515625,,,,,,,,,,,,,,,,
768,284,444300.0,25174422.0,577.9249877929688,,,,,,,,,,,,,,,,
746,300,450701.0,269063520.0,6176.84912109375,,,,,,,,,,,,,,,,
1181,320,301000.0,119500840.0,2743.362060546875,,,,,,,,,,,,,,,,
1180,321,302002.0,23703562.0,544.1589965820312,,,,,,,,,,,,,,,,
1178,325,303200.0,38536384.0,884.6740112304688,,,,,,,,,,,,,,,,
1183,329,306002.0,9471128.0,217.427001953125,,,,,,,,,,,,,,,,
946,33,403300.0,908365.625,20.85300064086914,,,,,,,,,,,,,,,,
828,210,436300.0,1783973.875,40.95399856567383,,,,,,,,,,,,,,,,
288,829,608900.0,6257348.5,143.6490020751953,,,,,,,,,,,,,,,,
300,878,613300.0,9545877.0,219.14300537109375,,,,,,,,,,,,,,,,
299,879,613400.0,44985384.0,1032.7220458984375,,,,,,,,,,,,,,,,
757,274,443001.0,766396.4375,17.5939998626709,,,,,,,,,,,,,,,,
345,875,612900.0,1620041.75,37.191001892089844,,,,,,,,,,,,,,,,
1038,109,420400.0,1009052.625,23.165000915527344,,,,,,,,,,,,,,,,
982,25,402500.0,368821.25,8.467000007629395,,,,,,,,,,,,,,,,
14,1385,,123610.1796875,2.8380000591278076,53.0,60.0,4.0,49.0,19.0,13.0,10.0,11.0,18.287971655791143,33197.0,21.0,6510.0,242.0,21341.0,851.0,4232.0
587,970,503507.0,378121.53125,8.680000305175781,,,,,,,,,,,,,,,,
1383,1360,153600.0,41574968.0,954.4299926757812,,,,,,,,,,,,,,,,
1409,491,104101.0,5941916.5,136.4080047607422,,,,,,,,,,,,,,,,
1453,532,131000.0,57764352.0,1326.0870361328125,,,,,,,,,,,,,,,,
35,569,10800.0,233947.0625,5.370999813079834,2453.0,5121.0,212.0,2241.0,533.0,455.0,530.0,935.0,14.349633002022822,471.0,,42.0,40.0,251.0,70.0,68.0
629,991,504201.0,2992013.25,68.68699645996094,,,,,,,,,,,,,,,,
637,992,504202.0,15763863.0,361.8890075683594,,,,,,,,,,,,,,,,
628,994,504308.0,18519912.0,425.15899658203125,,,,,,,,,,,,,,,,
1037,110,420500.0,391751.40625,8.993000030517578,,,,,,,,,,,,,,,,
27,574,11300.0,104269.234375,2.3940000534057617,1076.0,1995.0,49.0,1027.0,772.0,156.0,95.0,53.0,9.078893081036117,2542.0,,32.0,162.0,234.0,1721.0,393.0
1034,111,420600.0,803967.6875,18.457000732421875,,,,,,,,,,,,,,,,
8,584,12500.0,206497.953125,4.741000175476074,3974.0,6444.0,27.0,3947.0,2765.0,736.0,352.0,121.0,23.745652666745894,5412.0,8.0,106.0,1044.0,1221.0,1995.0,1038.0
514,1068,506900.0,9365601.0,215.0050048828125,,,,,,,,,,,,,,,,
510,1074,507206.0,3170327.5,72.78099822998047,,,,,,,,,,,,,,,,
267,821,608200.0,1095220.5,25.14299964904785,,,,,,,,,,,,,,,,
298,877,613200.0,40048904.0,919.39599609375,,,,,,,,,,,,,,,,
294,881,613502.0,24016242.0,551.3369750976562,,,,,,,,,,,,,,,,
293,882,613600.0,21256426.0,487.9800109863281,,,,,,,,,,,,,,,,
296,883,613700.0,112823048.0,2590.06103515625,,,,,,,,,,,,,,,,
513,1070,507002.0,13681070.0,314.0740051269531,,,,,,,,,,,,,,,,
357,1148,511200.0,2097461.0,48.1510009765625,,,,,,,,,,,,,,,,
355,1151,511604.0,4053599.0,93.05799865722656,,,,,,,,,,,,,,,,
695,1161,511909.0,24028614.0,551.6209716796875,,,,,,,,,,,,,,,,
69,601,15700.0,841987.625,19.32900047302246,2517.0,5614.0,468.0,2049.0,440.0,465.0,594.0,1018.0,112.07522907041076,3067.0,1.0,243.0,284.0,506.0,1563.0,470.0
1414,489,103100.0,41732872.0,958.0549926757812,,,,,,,,,,,,,,,,
1030,112,421100.0,745359.75,17.111000061035156,,,,,,,,,,,,,,,,
698,1198,512308.0,14964194.0,343.531005859375,,,,,,,,,,,,,,,,
86,602,15800.0,505949.21875,11.614999771118164,3248.0,6639.0,244.0,3004.0,801.0,659.0,742.0,1046.0,36.63660964087502,1464.0,,42.0,105.0,499.0,552.0,266.0
73,596,15200.0,281193.75,6.454999923706055,2325.0,3750.0,146.0,2179.0,561.0,416.0,493.0,855.0,24.508549809389947,1952.0,,205.0,217.0,459.0,750.0,321.0
512,1157,511800.0,140707584.0,3230.201904296875,,,,,,,,,,,,,,,,
994,144,424002.0,322624.59375,7.406000137329102,,,,,,,,,,,,,,,,
76,604,16000.0,166050.21875,3.812000036239624,1284.0,1826.0,22.0,1262.0,400.0,248.0,356.0,280.0,13.880503495668625,4328.0,6.0,197.0,37.0,718.0,729.0,2641.0
1350,1322,151502.0,27178310.0,623.927978515625,,,,,,,,,,,,,,,,
1352,1323,151503.0,14531757.0,333.6029968261719,,,,,,,,,,,,,,,,
1370,1343,152901.0,27506290.0,631.4580078125,,,,,,,,,,,,,,,,
989,16,401600.0,632937.5,14.529999732971191,,,,,,,,,,,,,,,,
983,24,402400.0,325280.46875,7.4670000076293945,,,,,,,,,,,,,,,,
1368,1340,152702.0,20733574.0,475.97698974609375,,,,,,,,,,,,,,,,
1356,1332,152202.0,2785277.25,63.941001892089844,,,,,,,,,,,,,,,,
990,15,401500.0,468179.9375,10.748000144958496,,,,,,,,,,,,,,,,
79,606,16200.0,275160.5625,6.316999912261963,1298.0,2163.0,58.0,1240.0,388.0,387.0,322.0,201.0,31.38798040505062,2921.0,2.0,101.0,218.0,731.0,1336.0,533.0
443,1027,505301.0,929665.0625,21.341999053955078,,,,,,,,,,,,,,,,
1005,1,400100.0,6794572.0,155.98199462890625,,,,,,,,,,,,,,,,
1450,528,128100.0,8966942.0,205.85299682617188,,,,,,,,,,,,,,,,
1451,529,128200.0,3953528.25,90.76100158691406,,,,,,,,,,,,,,,,
981,26,402600.0,290692.125,6.672999858856201,,,,,,,,,,,,,,,,
254,791,605700.0,7997709.0,183.6020050048828,,,,,,,,,,,,,,,,
304,838,609603.0,6313849.5,144.9459991455078,,,,,,,,,,,,,,,,
302,839,609700.0,5442220.5,124.93599700927734,,,,,,,,,,,,,,,,
971,29,402900.0,386396.09375,8.869999885559082,,,,,,,,,,,,,,,,
342,861,611400.0,8761899.0,201.14599609375,,,,,,,,,,,,,,,,
1386,1356,153403.0,8404092.0,192.93099975585938,,,,,,,,,,,,,,,,
80,607,16300.0,237923.9375,5.461999893188477,1850.0,3635.0,158.0,1692.0,529.0,420.0,399.0,502.0,16.038100632126103,543.0,,27.0,43.0,232.0,170.0,71.0
85,608,16400.0,310920.21875,7.138000011444092,1813.0,3444.0,121.0,1692.0,393.0,365.0,459.0,596.0,31.661644671449974,962.0,6.0,56.0,117.0,301.0,252.0,230.0
511,1069,507001.0,12003907.0,275.5719909667969,,,,,,,,,,,,,,,,
87,609,16500.0,375412.90625,8.618000030517578,2505.0,4956.0,236.0,2269.0,574.0,524.0,533.0,874.0,32.79512771365765,4374.0,36.0,22.0,197.0,439.0,3296.0,384.0
495,1080,507600.0,13799981.0,316.8039855957031,,,,,,,,,,,,,,,,
490,1081,507701.0,2634061.25,60.470001220703125,,,,,,,,,,,,,,,,
489,1082,507702.0,7868548.5,180.63699340820312,,,,,,,,,,,,,,,,
392,1117,509107.0,407326.53125,9.35099983215332,,,,,,,,,,,,,,,,
368,1155,511701.0,9075569.0,208.3459930419922,,,,,,,,,,,,,,,,
696,1163,511911.0,38070044.0,873.968017578125,,,,,,,,,,,,,,,,
