juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Foster City,11915.0,1447.0,2184.0,3020.0,5264.0,7570.0,4884.0,15795.0,112.0,1389.0,959.0,8129.0,2868.0,2338.0,0.956720732295,9657695.0,611.440012662
Millbrae,7960.0,1681.0,1870.0,1956.0,2453.0,5765.0,2584.0,5948.0,5.0,343.0,757.0,1061.0,2904.0,878.0,0.953407593724,4440548.0,746.561533289
Burlingame,12253.0,2128.0,2948.0,2701.0,4476.0,7050.0,5949.0,28005.0,39.0,6427.0,2792.0,7735.0,7649.0,3363.0,0.942610970075,20076952.0,716.905981075
Atherton,2341.0,129.0,120.0,222.0,1870.0,2523.0,0.0,2137.0,4.0,84.0,28.0,550.0,1242.0,229.0,0.0,1253675.0,586.651848386
Portola Valley,1684.0,44.0,31.0,104.0,1505.0,1794.0,0.0,2690.0,858.0,145.0,34.0,672.0,684.0,297.0,0.938684503902,1046814.0,389.150185874
Monte Sereno,1263.0,248.0,253.0,197.0,565.0,1258.0,100.0,539.0,10.0,42.0,4.0,288.0,133.0,62.0,0.930044182622,224000.0,415.584415584
Ross,817.0,135.0,121.0,178.0,383.0,861.0,25.0,350.0,0.0,10.0,8.0,44.0,246.0,42.0,0.922121896163,240331.0,686.66
Yountville,1081.0,358.0,344.0,187.0,192.0,859.0,392.0,2769.0,108.0,180.0,45.0,121.0,718.0,1597.0,0.86410871303,1751302.0,632.467316721
Colma,863.0,210.0,292.0,216.0,145.0,457.0,425.0,3926.0,2.0,153.0,2041.0,114.0,1206.0,410.0,0.978458049887,2074719.0,528.456189506
Belvedere,919.0,75.0,67.0,133.0,644.0,898.0,125.0,306.0,9.0,3.0,10.0,145.0,95.0,44.0,0.898338220919,137770.0,450.22875817
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
