zone_id,AGREMPN,OTHEMPN,MWTEMPN,FPSEMPN,RETEMPN,HEREMPN
268,0.005,0.095,0.095,0.095,0.095,0.095
269,0.005,0.095,0.095,0.095,0.095,0.095
270,0.005,0.095,0.095,0.095,0.095,0.095
271,0.005,0.095,0.095,0.095,0.095,0.095
272,0.005,0.095,0.095,0.095,0.095,0.095
273,0.005,0.095,0.095,0.095,0.095,0.095
274,0.005,0.095,0.095,0.095,0.095,0.095
275,0.005,0.095,0.095,0.095,0.095,0.095
276,0.005,0.095,0.095,0.095,0.095,0.095
277,0.005,0.095,0.095,0.095,0.095,0.095
278,0.005,0.095,0.095,0.095,0.095,0.095
279,0.005,0.095,0.095,0.095,0.095,0.095
280,0.005,0.095,0.095,0.095,0.095,0.095
281,0.005,0.095,0.095,0.095,0.095,0.095
282,0.005,0.095,0.095,0.095,0.095,0.095
283,0.005,0.095,0.095,0.095,0.095,0.095
284,0.005,0.095,0.095,0.095,0.095,0.095
285,0.005,0.095,0.095,0.095,0.095,0.095
286,0.005,0.095,0.095,0.095,0.095,0.095
287,0.005,0.095,0.095,0.095,0.095,0.095
288,0.005,0.095,0.095,0.095,0.095,0.095
289,0.005,0.095,0.095,0.095,0.095,0.095
290,0.005,0.095,0.095,0.095,0.095,0.095
291,0.005,0.095,0.095,0.095,0.095,0.095
292,0.005,0.095,0.095,0.095,0.095,0.095
293,0.005,0.095,0.095,0.095,0.095,0.095
294,0.005,0.095,0.095,0.095,0.095,0.095
295,0.005,0.095,0.095,0.095,0.095,0.095
296,0.005,0.095,0.095,0.095,0.095,0.095
297,0.005,0.095,0.095,0.095,0.095,0.095
298,0.005,0.095,0.095,0.095,0.095,0.095
299,0.005,0.095,0.095,0.095,0.095,0.095
300,0.005,0.095,0.095,0.095,0.095,0.095
301,0.005,0.095,0.095,0.095,0.095,0.095
302,0.005,0.095,0.095,0.095,0.095,0.095
303,0.005,0.095,0.095,0.095,0.095,0.095
304,0.005,0.095,0.095,0.095,0.095,0.095
305,0.005,0.095,0.095,0.095,0.095,0.095
306,0.005,0.095,0.095,0.095,0.095,0.095
307,0.005,0.095,0.095,0.095,0.095,0.095
308,0.005,0.095,0.095,0.095,0.095,0.095
309,0.005,0.095,0.095,0.095,0.095,0.095
310,0.005,0.095,0.095,0.095,0.095,0.095
311,0.005,0.095,0.095,0.095,0.095,0.095
312,0.005,0.095,0.095,0.095,0.095,0.095
313,0.005,0.095,0.095,0.095,0.095,0.095
314,0.005,0.095,0.095,0.095,0.095,0.095
315,0.005,0.095,0.095,0.095,0.095,0.095
316,0.005,0.095,0.095,0.095,0.095,0.095
317,0.005,0.095,0.095,0.095,0.095,0.095
318,0.005,0.095,0.095,0.095,0.095,0.095
319,0.005,0.095,0.095,0.095,0.095,0.095
